NAME DES BEGÜNSTIGTEN,BEZEICHNUNG DES VORHABENS,Jahr der Bewilligung,Jahr der abschließenden Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
Holzhof Zipper GmbH & Co. KG,Errichtung einer neuen Betriebsstätte in 29565 Wriedel,2013,,127500,
Holzwerk Bernhardt & Kettenburg GbR,Erweiterung einer Betriebsstätte,,2011,,23500
Hoops Blumen und Floristik,"Beratung zur Erarbeitung eines Online-Marketingkonzepetes zur
gezielten Neukundenaquise",,2013,,1280
Hoppla Tischlerei Cohrs-Jobmann,Einstellung eines Innovationsassistenten,,2011,,9000
HörAkustiker GlobalEinkauf Werner Lipski,"Konzeptionelle Beratung zur Erstellung einer professionellen
Internetpräsenz, unter Beachtung der bisehrigen Web-Strategie",,2012,,3600
Horst Witte Gerätebau Barskamp KG,Erweiterung der Betriebsstätte,,2011,,"563319,27"
Horstschäfer Inh. Hanjo Postels e.K.,"Erarbeitung eines Online-Marketingkonzeptes für die Vermarktung
von Produkten aus dem Baumarktsortiment",,2010,,2080
Hörstudio Weghenkel GmbH,Erstellung eines Web-Marketing-Konzeptes,,2013,,9600
Hotel + Restaurant Windmüller,Beratung zur Erstellung eines professionellen Internetauftritts,,2013,,3600
Hotel Am Medemufer GmbH,"Entwicklung einer umfassenden Online-Marketingstrategie zur
Vermarktungsoptimierung",,2012,,5000
Hotel Am Medemufer GmbH,"Entwicklung eines Markenzeichens und Names mit entsprechend
effektiver Kommunikationsstrategie",,2009,,10000
Hotel Bergström GmbH,Erweiterung einer bestehenden Betriebsstätte,,2011,,644700
Hotel Braunschweiger-Hof,"Übernahme des Hotels "" Hotel Braunschweiger - Hof""",,2013,,"272299,81"
Hotel Buchenhof GmbH,Ausbauung der Präsenz im Web,,2012,,2500
Hotel Café Schäferhof GmbH & Co. KG,Konzeption und Entwicklung einer Online-Marketingstrategie,,2010,,3000
Hotel Deutsche Eiche K. H. Meyer KG,Erweiterung einer Betriebsstätte,,2011,,1049475
Hotel Gut Schöneworth,"Beratung hinsichtlich eines professionellen Internetauftritts sowie zur
Suchmaschinenoptimierung (SEO)",,2011,,6000
Hotel Sellhorn Gastron omie GmbH,Optimierung von Werbe- und Marketingmaßnahmen,,2010,,10000
Hotel- und Objekt-Management GmbH,Errichtung einer neuen Betriebsstätte,,2011,,1799928
Hotel zum Eichenhof,Entwicklung eines Marketingkonzeptes,,2011,,10000
Hotel-Pension Eichenhof,"Beratung zum Relaunch der Website zur Spezialisierung für
Behinderte",,2013,,6000
"Hotel-Restaurant ""Zur Einkehr""",Erarbeitung eines professionellen Internet-Auftrittes,,2012,,4000
HSI Hotel Suppliers Indes Ltd.,Beratung zur Erarbeitung eines Web-Marketingkonzeptes,,2011,,5900
huckfeldt & tabken GmbH & Co. KG,B-PES200 Trocknungssystem,2014,,94000,
Human Medical GmbH,Entwicklung eines Netzwerkkonzeptes,,2009,,10000
Human Medical GmbH,"Marketingkonzept und Marktforschung zu Aufbauarbeit für eine
Praxiskette",,2008,,10000
IBE AG,Optimierung Kundenansprache durch gezielte Marketingmaßnahmen,,2009,,10000
IBV Ingenieurbüro Voss Inh. Roman Wehrs,"Herstellung eines zeitgemäßen + schlüssigen Gesamtmarkt- auftrittes
+ Erarbeitung eines Marketingplans",,2008,,6000
Ihlienworth,"Aufbau einer breitbandigen eletr. Kommunikation im Bereich der
Gewerbe-, Misch- und Wohngebiete der Gemeind Ihlienworth",2013,,88975,
Ihr Festkomitee,"Beratung zur Neukundengewinnung und Kundenbindung durch einen
professionellen Internet-Auftritt",,2013,,4400
Ihr Friseur Schwache,Erstellung eines Web-Marketing-Konzeptes,,2011,,2000
Ilmenau Garten GmbH & Co. KG,"Wiedernutzung von brachliegenden Flächen ""An der Wittenberger
Bahn""",2014,,706950,
implantcast GmbH,Erarbeitung einer umfassenden Marketing-Strategie,,2009,,4000
implantcast GmbH,"Lasergenerierte Tibia Spacer mit Oberflächenmodifikationen zur
nachhalt. Verbesserung des Einwachsverhaltens von
Knochengewebe",,2012,,"119328,11"
Industrie Service Stade,Erstellung einer professionellen Internetpräsenz,,2014,,4000
Industriebedarf Niemann-Laes GmbH,Erweiterung der Betriebsstätte,,2012,,"982738,76"
Industrie-Rohr-Bau GmbH,"Konzeptionelle Beratung zur Erstellung einer professionellen
Internetpräsenz",,2013,,3800
Ing. Staatz Tiefbau-GmbH,"Erstellung eines Marketing-Konzeptes für die Ing. Staatz Tiefbau-
GmbH",,2012,,2528
Ing.-Holzbau Cordes GmbH & Co. KG,"Entwicklung eines Freileitungsmasts aus Holz für
Hochspannungsleitungen (>50 kV)",,2013,,"276117,19"
Ing.-Holzbau Cordes GmbH & Co. KG,"Generierung von Verbindungs- u.Beschichtungstechnik zur
Realisierung von Holzproj. im Freilandbereich",2013,,100000,
Ing.-Holzbau Cordes GmbH & Co. KG,Schienensystem für Holzachterbahnen,,2011,,50000
Ing.-Holzbau Raap GmbH & Co. KG Raap Dachsysteme,"Konzeptionelle Beratung um neue Kunden zu gewinnen und
bestehende Kunden duch Web-Marketing zu binden.",,2013,,5600
Ingenierbüro Klaus Waldvogel,"Beratung bei der vorgesehenen Übergabe des Betriebes an einen
kompetenten Nachfolger",,2015,,3600
Ingenieurbüro Fariba Khandanian GmbH i. Gr.,"Gründung und Aufbau des Unternehmens Ingenieurbüro Fariba
Khandanian",,2013,,18000
Ingenieurbüro Frey,Lastzyklenzähler für Windenergieanlagen,2014,,"67518,45",
"Ingenieurgesellschaft für Geotechnik und Umweltmanagement
Prof. Dr.-Ing. Salomo + Partner mbH",Entwicklung eines Corporate Design,,2012,,3600
Ingenieurgesellschaft Heidt & Peters mbH,Einstellung eines Innovationsassistenten,,2012,,12000
Inoq GmbH,Entwicklung des Produktes Echter Glücksklee als lebende Pflanze,2013,,"94941,27",
Inoq GmbH,"Nachhaltige Moorbeetpflanzenproduktion durch nützliche
Mikroorganismen",2013,,97800,
Inosens GmbH,Einstellung eines Innovationsassistenten,,2010,,12000
Inosens GmbH,Einstellung eines Innovationsassistenten,,2010,,12000
Institut für Geopathologie und Elektrosm og,Marketingberatung zur Steigerung der Bonität,,2010,,2800
Intelligence Data Communication GmbH,Einstellung eines Innovationsassistenten,,2014,,"7837,98"
Iris Freyer,Erstellung der Corporate Identity,,2012,,"1165,96"
IT Netzwerk Nord UG,"Gründung und Aufbau des Unternehmens ITNN - IT Netzwerk Nord
UG",,2013,,18000
IT-Center Riemer e.K.,Datenverarbeitung sowie Entwicklung,,2011,,30100
J. Hauskeller GmbH,"Konzeptionelle Beratung zur Neuausrichtung des Internet-Auftrittes
zur Neukundengewinnung",,2013,,10000
Jacobs GaLaBau GmbH,"Konzeptionelle Beratung zur Erstellung einer professionellen
Internetpräsenz",,2013,,10000
Janice Bücker - Fotografie,Erstellung eines professionellen Internetauftrittes,,2012,,2000
Jark Verwaltungs GmbH & Co. KG,Erstellung eines Marketingkonzeptes,,2010,,4000
Jehlen & Co. Industriebedarf GmbH,"Erwerb eines Gebäudes, Anschaffung v. Maschinen",,2014,,184000
JM Ausdrucke aller Art & Werbetechnik JM,Erarbeitung eines Web-Marketing-Konzeptes,,2011,,1600
Joachim Alpers GmbH,"Beratung zur Erstellung einer professionellen Internetpräsenz, unter
Beachtung der bisherigen Web-Strategie",,2011,,4800
Joachim Behrens Scheessel GmbH,Einstellung einer Innovationsassistentin,,2012,,12000
Joachim Behrens Scheessel GmbH,Einstellung einer Innovationsassistenz,,2011,,12000
Jochim Textilpflege GmbH,Textilreinigung,2010,,450000,
Johannes Schacht Fruchthandels- gesellschaft mbH,Erarbeitung eines professionellen Internetauftrittes,,2014,,4000
Johannes Tönnis Heilpraktiker,"Beratung zur Erstellung eines individuellen Web-Marketing-
Konzeptes",,2013,,5600
Jorado Maschinenbau GmbH,Erweiterung der Betriebsstätte,,2011,,"194900,67"
Junker Elektrotechnik,"Konzeptionelle Beratung zur Vorbereitung der
Zielvereinbarungsgespräche mit den Mitarbeitern",,2013,,10000
Jürgen Meyer,Planung der Unternehmensnachfolge,,2014,,"2023,79"
Jurzica & Partner,"Beratung zur Erstellung eines Vermarktungskonzeptes zur Neu-
kundengewinnung durch Web-Marketing",,2014,,4400
Juwelier Hennings,Entwicklung einer Strategie zur Erschließung des Internetmarktes,,2011,,3840
Juwi MacMillan Group GmbH,Einstellung einer Innovationsassistentin,,2013,,15000
K&H Verlags-GmbH,Betriebsverlagerung mit Erweiterung,,2011,,"127083,84"
Kaffeerösterei de koffiemann GmbH,Erarbeitung eines Web-Marketing-Konzeptes,,2012,,3760
Kahrs GmbH,Erarbeiten eines Web-Marketingkonzeptes,,2011,,10000
Kahrs Holz & Bau GmbH,Überarbeitung der Organisationsstruktur,,2012,,2175
Kai Engel GmbH Ladenbau-Messebau-Tischlerei,Entwicklung eines Marketingkonzeptes,,2009,,10000
Kameleon GmbH & Co. KG,Erarbeitung eines Web-Marketing-Konzeptes,,2011,,8000
Kapitalbeteiligungsgesellschaft Niedersachsen mbH,Beteiligungsfonds Zielgebiet Konvergenz,2009,,16000000,
kar-bag Designertaschen Inh. Karin Schmitt,"Weiterentwicklung des Unternehmens und Verbesserung der
Chancen auf dem Markt",,2010,,2800
Karl Kaus Stiftung für Tier und Natur,Bau eines Beobachtungsturms an einem Flachgewässer,,2009,,"8463,77"
Karl Kaus Stiftung für Tier und Natur,"Kirchenfledermäuse im Landkreis Lüchow-Dannenberg - Kirchen
schützen ihre Fledermäuse",,2011,,"53918,11"
Karl Kaus Stiftung für Tier und Natur,Naturerlebnis Waldfledermäuse,2012,,"90357,28",
Kartoffelschälbetrieb Hinrichs GmbH,Errichtung einer neuen Betriebsstätte,,2011,,"110993,02"
Katja Schulze Raumausstattung,Entwicklung von Online-Marketingstrategien,,2013,,1120
KDW Green Line Trading GmbH,Planung und Vorbereitung einer Beteiligung,,2015,,5000
Kempowski Stiftung- Haus Kreienhoop,"Energetische Sanierung der Gebäudehülle und Schaffung von
barrierefreien Zugängen und Verkehrsflächen",2014,,"321706,67",
Kersten Roose Entwicklungscoach für Jugendliche,"Entwicklung einer einheitlichen Linie der Außendarstellung im Print-
und Onlinebereich",,2010,,1400
Kewitz Bauabfall und Recycling GmbH,Erweiterung einer bestehenden Betriebsstätte,,2010,,"51986,58"
KG Hochwild Schutzpark Schwarze Berge GmbH & Co,Bau einer Gehwegrampe,2014,,"69242,82",
Kleinstadtdeals UG,Gründung und Aufbau des Unternehmens,,2013,,18000
Klimawerk Energieagentur GmbH & Co. KG,innonet.3E,2011,,"207881,09",
Klinik Dr. Witwity,Erstellung einer professionellen Internetpräsens,,2012,,8400
Klinik Fallingbostel von Graevemeyer GmbH & Co. KG,Entwicklung eines einheitlichen Corporate Designs,,2012,,10000
Klostergemeinde Wienhausen,mnu zununoern s erunes eem.aauses n,,2013,,"828060,42"
Kluge & Neumann GmbH,"Konzepterstellung zur Planung der Unternehmensnachfolge durch
Übernahme der Gesellschaftsanteile",,2012,,3600
Knape & Partner GmbH,"Erstellung einer strategisch integrierten Internetseite mit
Vertriebsunterstützung",,2013,,2200
Knape & Partner Herrn Sven Knape,Erstellung um Umsetzung eines komplexen Marketingkonzeptes,,2008,,6200
Knape & Partner Herrn Sven Knape,"Fortsetzung der Erarbeitung eines Marketingkonzeptes für die Wac
hstumsphase des Unternehmens",,2010,,2600
KoBe Rail GmbH,Beratung zur Erstellung eines neuen Web-Marketing-Konzeptes,,2014,,8800
Koller Maschinen- und Anlagenbau GmbH,"Stärkung und Ausbau der Vertriebsaktivitäten durch die Nutzung e
ntsprechender Marketingmittel",,2010,,10000
König GmbH,Entwicklung einer Betonbohrspritze für Pfahlgründungen,2013,,99925,
KON-TIKI Büro für Bildungs- und Erlebnisplanung,Einstellung eines Innovationsassistenten,,2011,,9900
Kopp Stahlbau Buxtehude GmbH,"Erstellung einer professionellen Internetpräsenz, unter Beachtung der
bisherigen Web-Strategie",,2011,,4800
Körner Stahltore GmbH & Co. KG,Stahl- und Metallbau,,2011,,"201168,26"
Kosmetikinstitut Anke Maria Heinrich,Beratung zum Corporate Design,,2010,,2380
Krabbenschälzentrum GmbH,Errichtung einer Betriebsstätte,2007,,"344620,64",
Kracke Bau,Beratung zur Ausweitung der Web-Aktivitäten,,2013,,10000
Krause Meat International Food Produktion GmbH,Übernahme einer stillgelegten Betriebsstätte,,2010,,"253248,76"
Krause Schwimmbad-Technik GmbH,Entwicklung eines Web-Marketing-Konzeptes,,2011,,10000
Krause und Wilhelmi Elektro GmbH,Erweiterung einer bestehenden Betriebsstätte,,2015,,90000
KRD Coatings GmbH,"Schutzverglasung aus polymeren Verbundwerkstoffen mit hohen
Umformgraden",2013,,500000,
Kreativ Bastelparadies GmbH,Erarbeitung eines professionellen Internet-Auftrittes,,2012,,4000
Kreiskrankenhaus Osterholz,"Energetische Optimierung des Funktionstraktes des
Kreiskrankenhauses Osterholz",2010,,"2082251,19",
Krone Filtertechnik GmbH,Beratung zur Erstellung eines neuen Web-Marketing-Konzeptes,,2013,,10000
Krüger's Foodfactory,"Konzeptionelle Beratung zur zur Neugestaltung des Onlineshop
Krüger¿s Foodfactory",,2013,,5000
KS Trading GmbH,Beratung zur Erstellung eines Web-Marketing-Konzeptes,,2014,,5000
Kulturstiftung Schloss Agathenburg,Umgestaltung Schloss Agathenburg,,2013,,946000
Kummer Maschinenbau GmbH,Errichtung einer Betriebsstätte,,2010,,"98005,74"
Kurgesellschaft Bevensen GmbH,"Modernisierung der Jod-Sole-Therme durch Schaffung einer Sole- u
nd SalzWelt Bad Bevensen",2012,,"1673983,58",
Kurgesellschaft Bevensen GmbH,Modernisierung von Einrichtungen der Jod-Sole-Therme,,2013,,"7741613,86"
Kurt Fredrich Spezialtiefbau GmbH,"Vergrößerung des Pfahldurchmessers beim Vollverdrängungsbohr-
pfahlsystem Fundex auf D550/670mm",2014,,88900,
Kusserow Garten- und Landschaftsbau,Optimierung des Marketingkonzeptes,,2010,,10000
Kutenholz,"Aufbau einer breitbandigen, elektronischen Kommunikation in der
Gemeinde Kutenholz, Gemeindeteil Mulsum",2014,,140045,
Labor-Cuxhaven/FtB Osterloh Andree Osterloh,Einstellung einer Innovationsassistentin,,2012,,12000
Labor-Cuxhaven/FtB Osterloh Andree Osterloh,Einstellung eines Innovationsassistenten,,2011,,9800
Labor-Cuxhaven/FtB Osterloh Andree Osterloh,Einstellung eines Innovationsassistenten,,2012,,12000
Landesverband Metall Niedersachsen/Bremen,Modernisierung der Landesfachschule Metall in Lüneburg,,2014,,3056274
Landgasthof Martin,Optimierung des derzeitigen Marketing- und Vertriebskonzeptes,,2009,,4800
Landgasthof Stössel,Ausbau/Umbau des Landgasthofes,,2015,,350000
Landkreis Celle,Barrierefreier Rundwanderweg im Naturpark Südheide,,2012,,"241781,57"
Landkreis Celle,"Entwicklung und Umsetzung desWanderwegekonzeptes
""Wanderparadies Südheide"" für den Naturpark Südheide",,2010,,50000
Landkreis Celle,Errichtung von Informationstafeln am Lutter-Rundwanderweg,,2014,,"21096,85"
Landkreis Celle,"Errichtung von Informationstafeln auf dem Fernwanderweg der
Lüneburger Heide ""Heidschnuckenweg"" im LK Celle",,2015,,"19846,91"
Landkreis Celle,"Erstellung einer Broschüre für Radfahrer und Erstellung von
Informationstafeln",,2012,,"49590,2"
Landkreis Celle,"Erstellung einer landkreisweiten Netzstrukturplanung für den
Landkreis Celle",2014,,154700,
Landkreis Celle,Erstellung eines Tourismusentwicklungskonzeptes,,2010,,"34484,77"
Landkreis Celle,Förderung der Öffentlichkeitsarbeit des Naturparkes Südheide,,2014,,"36200,4"
Landkreis Celle,"Richtlinie des Landkreises Celle zur Förderung klein- und mittlerer
Unternehmen (KMU-Förderrichtlinie)",,2010,,"929689,34"
Landkreis Celle,"Richtlinie des Landkreises Celle zur Förderung kleiner und mittlerer
Unternehmen",,2012,,"1124512,94"
Landkreis Celle,"Richtlinie des Landkreises Celle zur Förderung kleiner und mittlerer
Unternehmen",,2013,,"539109,93"
Landkreis Celle,"Richtlinie des Landkreises Celle zur Förderung kleiner und mittlerer
Unternehmen",,2015,,"94971,5"
Landkreis Celle,"Richtlinie des Landkreises Celle zur Förderung kleiner und mittlerer
Unternehmen",2013,,"857747,83",
Landkreis Celle,Rundwanderweg Lutter - Erlebnispfad im Naturpark Südheide,,2011,,15000
Landkreis Celle,"Umsetzung des Ausschilderungskonzeptes für den Naturpark
Südheide",2013,,131257,
Landkreis Celle,Umsetzung des Reitwegekonzeptes im Landkreis Celle,,2009,,"45962,25"
Landkreis Celle,"Verbesserung der DSL- Infrastruktur im Gewerbegebiet der
Gemeinde Adelheidsdorf",,2015,,"98870,17"
Landkreis Celle,"Verbesserung der DSL- Infrastruktur im Gewerbegebiet der
Gemeinde Eicklingen",2014,,89500,
Landkreis Celle,"Verbesserung der DSL- Infrastruktur im Gewerbegebiet der
Gemeinde Hermannsburg",2014,,"132735,55",
Landkreis Celle,"Verbesserung der DSL- Infrastruktur im Gewerbegebiet der
Gemeinde Hermannsburg, Gemarkung Beckedorf",2014,,"71667,68",
Landkreis Celle,"Verbesserung der DSL- Infrastruktur im Gewerbegebiet der
Gemeinde Lachendorf",2014,,"159958,86",
Landkreis Celle,"Verbesserung der DSL- Infrastruktur im Gewerbegebiet der
Gemeinde Wietze",2014,,"62824,69",
Landkreis Celle,"Verbesserung der DSL- Infrastruktur im Gewerbegebiet der
Gemeinde Winsen",2014,,100600,
Landkreis Celle,"Verbesserung der DSL- Infrastruktur in Gewerbegebieten der Stadt
Bergen",2014,,"106095,71",
Landkreis Celle,"Wanderparadies Südheide - hier: Umsetzung des
Wanderwegekonzeptes für den Naturpark Südheide",,2014,,380400
Landkreis Cuxhaven,Alter Postweg ... auf historischen Spuren durch den Landkreis,,2009,,"85851,53"
Landkreis Cuxhaven,Branchenmanagement Gesundheitswirtschaft im Cuxland,,2014,,"209525,31"
Landkreis Cuxhaven,"Einrichtung einer Koordinierungsstelle für Gesundheitstourismus im
Landkreis Cuxhaven",2012,,200000,
Landkreis Cuxhaven,Koordinierungsstelle Frau und Wirtschaft,,2011,,"175899,68"
Landkreis Cuxhaven,Koordinierungsstelle Frau und Wirtschaft,,2012,,"168215,42"
Landkreis Cuxhaven,Koordinierungsstelle Frau und Wirtschaft Landkreis Cuxhaven,,2011,,"169093,12"
Landkreis Cuxhaven,"Koordinierungsstelle Frau und Wirtschaft und Koordinierungsstelle
plus",2013,,"299602,18",
Landkreis Cuxhaven,"Koordinierungsstelle Frau und Wirtschaft und Koordinierungsstelle
Plus",,2013,,"198243,85"
Landkreis Cuxhaven,"Koordinierungsstelle Frau und Wirtschaft und Koordinierungsstelle
Plus",,2014,,"189547,32"
Landkreis Cuxhaven,KoordinierungsstellePlus Frauen und Wirtschaft,,2009,,"134561,92"
Landkreis Cuxhaven,"Richtlinie zur Förderung von Investitionen in kleinen und mittle ren
Unternehmen (KMU) im Landkreis Cuxhaven",,2012,,"527756,14"
Landkreis Cuxhaven,"Richtlinie zur Förderung von Investitionen in kleinen und mittle ren
Unternehmen (KMU) im Landkreis Cuxhaven",,2013,,"475781,88"
Landkreis Cuxhaven,"Richtlinie zur Förderung von Investitionen in kleinen und mittleren
Unternehmen (KMU) im Landkreis Cuxhaven",,2010,,"1903758,39"
Landkreis Cuxhaven,"Richtlinie zur Förderung von Investitionen in kleinen und mittleren
Unternehmen (KMU) im Landkreis Cuxhaven",,2011,,"756419,81"
Landkreis Cuxhaven,"Richtlinie zur Förderung von Investitionen in kleinen und mittleren
Unternehmen (KMU) im Landkreis Cuxhaven",,2014,,252002
Landkreis Cuxhaven,"Richtlinie zur Förderung von Investitionen in kleinen und mittleren
Unternehmen (KMU) im Landkreis Cuxhaven",2013,,"533677,42",
Landkreis Harburg,"Abwasserbauvorhaben Seevetal - Bullenhausen ""Elbdeich"", 4.
Teilabschnitt",,2011,,135000
Landkreis Harburg,"Abwasserbauvorhaben Seevetal - Stelle ""Achterdeich, östlicher
Abschnitt""",,2011,,"208975,16"
Landkreis Harburg,"Abwasserbauvorhaben Seevetal, Fliegenberg",,2012,,343215
Landkreis Harburg,"Abwasserbauvorhaben Seevetal, Hittfeld ""Schafkovenberg u.a.""",,2012,,424647
Landkreis Harburg,"Abwasserbauvorhaben Seevetal, Horst ""Hermann-Löns-Weg""",,2011,,"504307,75"
Landkreis Harburg,"Abwasserbauvorhaben Seevetal, Maschen ""Erikaweg""",,2012,,"177784,43"
Landkreis Harburg,Abwasserbauvorhaben Seevetal: Rosengarten Wuhlenburg,,2013,,"347866,31"
Landkreis Harburg,"Abwasserbauvorhaben Tostedt - Handeloh ""Wörmer Straße""",,2011,,"617203,22"
Landkreis Harburg,"Abwasserbauvorhaben Tostedt - Wistedt ""Quellner Straße""",,2011,,"289675,77"
Landkreis Harburg,"Agrarium, Erlebniswelt Landwirtschaft, 1. Bauabschnitt", ,2013,,"4640238,96"
Landkreis Harburg,Errichtung eines Fernwanderwegs durch die Lüneburger Heide,,2013,,"220835,57"
Landkreis Harburg,Planung eines Fernwanderweges durch die Lüneburger Heide,,2011,,"33498,5"
Landkreis Harburg,"Richtlinie des Landkreises Harburg in Zusammenarbeit mit seinen
Städten und Gemeinden",,2010,,"921280,39"
Landkreis Harburg,"Richtlinie des Landkreises Harburg in Zusammenarbeit mit seinen
Städten und Gemeinden",,2011,,"280507,77"
