NAME DES BEGÜNSTIGTEN,BEZEICHNUNG DES VORHABENS,Jahr der Bewilligung,Jahr der abschließenden Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
HIB GmbH Hanseatische Industrie Beteiligung,Konzept zur Nachfolge innerhalb der HIB-Gruppe,,2011,,"10.000,00"
Hilbig Landmaschinen GmbH,Kleinwindkraftanlage mit Vertikalrotor,,2013,,"9.256,59"
Hilken GmbH,Selbstlernende Anhänger-Achslenkung,,2014,,"57.654,58"
Hille Wenn Kunst,"Konzeptionelle Beratung zur Vermarktung von Produkten über das
Internet",,2013,,"2.000,00"
Hin & Hair Inh. Andrea Kaminski,"Gewinnmaximierung durch Erstellung von möglichen
Marketingstrategien zur Neukundengewinnung",,2010,,"4.000,00"
"HIRI - Hildebrand und Richter & Co. Fabrik für techn. Gummi- und
Kunststoff- spezialitäten GmbH","Erweiterung eines Warenwirtschaftssystems um ein Material- und
Kapazitätsmodul",,2015,,"20.777,75"
HLS Dahlke GmbH,Beratung bei der Erstellung von Verkaufsunterlagen,,2014,,"10.000,00"
Hochschule 21 gemeinnützige GmbH,"Berufsbegleitender Masterstudiengang ""Energiesparendes Bauen""",,2011,,"16.937,43"
Hochschule 21 gemeinnützige GmbH,Kompetenznetzwerk Mechatronik 21,,2014,,"204.954,00"
Hochschule für Künste im Sozialen Ottersberg,"Entwicklung integrativer Behandlungskonzepte von Kunsttherapie und
psychosomatischer Medizin",,2011,,"120.890,00"
Hochschule für Künste im Sozialen Ottersberg,Entwicklung und Validierung eines Modells IiGART,,2013,,"168.844,36"
Hochschule für Künste im Sozialen Ottersberg,"Kunst u. Unternehmen in Niedersachsen: Aufbau von Netz- werken u.
Vorbereitung einer systematischen Bedarfsanalyse",,2015,,"33.233,45"
Hof Buschbur GmbH & Co. KG,Erstellung eines Nachfolgekonzeptes,,2012,,"2.000,00"
Hofmann Optik & Akustik Inh. Bernd Hofmann,"Erarbeitung geeigneter Marketingkonzepte zur Verbesserung der
Leistungs- und Wettbewerbsfähigkeit",,2011,,"10.000,00"
Höhenweg GmbH,Bau eines Hochseilgarten,,2011,,"42.637,85"
Holger Börner,"Beratung zur Neukundengewinnung und Kundenbindung durch Web-
Marketing",,2013,,"5.000,00"
Holzbau Cordes GmbH & Co. KG,Schienensystem für Holzachterbahnen,,2011,,"50.000,00"
Holzbau Cordes GmbH & Co. KG,"Entwicklung eines Freileitungsmasts aus Holz für
Hochspannungsleitungen (>50 kV)",,2013,,"276.117,19"
Holzbau Cordes GmbH & Co. KG,"Generierung von Verbindungs- u.Beschichtungstechnik zur
Realisierung von Holzproj. im Freilandbereich",,2015,,"98.568,00"
Holzhandlung - Holzbau Joh. D. Bahrenburg GmbH,Konzeption zur Erstellung eines professionellen Internetauftritts,,2013,,"10.000,00"
Holzhof Zipper GmbH & Co. KG,Errichtung einer neuen Betriebsstätte in 29565 Wriedel,,2015,,"78.373,94"
Holzwerk Bernhardt & Kettenburg GbR,Erweiterung einer Betriebsstätte,,2011,,"23.500,00"
Hoops Blumen und Floristik,"Beratung zur Erarbeitung eines Online-Marketingkonzepetes zur
gezielten Neukundenaquise",,2013,,"1.280,00"
Hoppla Tischlerei Cohrs-Jobmann,Einstellung eines Innovationsassistenten,,2011,,"9.000,00"
HörAkustiker GlobalEinkauf Werner Lipski,"Konzeptionelle Beratung zur Erstellung einer professionellen
Internetpräsenz, unter Beachtung der bisehrigen Web-Strategie",,2012,,"3.600,00"
Horst Witte Gerätebau Barskamp KG,Erweiterung der Betriebsstätte,,2011,,"563.319,27"
Horstschäfer Inh. Hanjo Postels e.K.,"Erarbeitung eines Online-Marketingkonzeptes für die Vermarktung von
Produkten aus dem Baumarktsortiment",,2010,,"2.080,00"
Hörstudio Weghenkel GmbH,Erstellung eines Web-Marketing-Konzeptes,,2013,,"9.600,00"
Hotel + Restaurant Windmüller,Beratung zur Erstellung eines professionellen Internetauftritts,,2013,,"3.600,00"
Hotel Am Medemufer GmbH,"Entwicklung eines Markenzeichens und Names mit entsprechend
effektiver Kommunikationsstrategie",,2009,,"10.000,00"
Hotel Am Medemufer GmbH,"Entwicklung einer umfassenden Online-Marketingstrategie zur
Vermarktungsoptimierung",,2012,,"5.000,00"
Hotel Bergström GmbH,Erweiterung einer bestehenden Betriebsstätte,,2011,,"644.700,00"
Hotel Braunschweiger-Hof,"Übernahme des Hotels "" Hotel Braunschweiger - Hof""",,2013,,"272.299,81"
Hotel Buchenhof GmbH,Ausbauung der Präsenz im Web,,2012,,"2.500,00"
Hotel Café Schäferhof GmbH & Co. KG,Konzeption und Entwicklung einer Online-Marketingstrategie,,2010,,"3.000,00"
Hotel Deutsche Eiche K. H. Meyer KG,Erweiterung einer Betriebsstätte,,2011,,"1.049.475,00"
Hotel Gut Schöneworth,"Beratung hinsichtlich eines professionellen Internetauftritts sowie zur
Suchmaschinenoptimierung (SEO)",,2011,,"6.000,00"
Hotel Sellhorn Gastron omie GmbH,Optimierung von Werbe- und Marketingmaßnahmen,,2010,,"10.000,00"
Hotel- und Objekt-Management GmbH,Errichtung einer neuen Betriebsstätte,,2011,,"1.799.928,00"
Hotel zum Eichenhof,Entwicklung eines Marketingkonzeptes,,2011,,"10.000,00"
Hotel-Pension Eichenhof,"Beratung zum Relaunch der Website zur Spezialisierung für
Behinderte",,2013,,"6.000,00"
HSI Hotel Suppliers Indes Ltd.,Beratung zur Erarbeitung eines Web-Marketingkonzeptes,,2011,,"5.900,00"
huckfeldt & tabken GmbH & Co. KG,B-PES200 Trocknungssystem,,2016,,"54.954,39"
Hüge und Lange GmbH,Erweiterung einer bestehenden Betriebsstätte,,2010,,"77.968,55"
Human Medical GmbH,"Marketingkonzept und Marktforschung zu Aufbauarbeit für eine
Praxiskette",,2008,,"10.000,00"
Human Medical GmbH,Entwicklung eines Netzwerkkonzeptes,,2009,,"10.000,00"
IBE AG,Optimierung Kundenansprache durch gezielte Marketingmaßnahmen,,2009,,"10.000,00"
IBV Ingenieurbüro Voss Inh. Roman Wehrs,"Herstellung eines zeitgemäßen + schlüssigen Gesamtmarkt- auftrittes
+ Erarbeitung eines Marketingplans",,2008,,"6.000,00"
Ihlienworth,"Aufbau einer breitbandigen eletr. Kommunikation im Bereich der
Gewerbe-, Misch- und Wohngebiete der Gemeind Ihlienworth",,2015,,"88.975,00"
Ihr Festkomitee,"Beratung zur Neukundengewinnung und Kundenbindung durch einen
professionellen Internet-Auftritt",,2013,,"4.400,00"
Ihr Friseur Schwache,Erstellung eines Web-Marketing-Konzeptes,,2011,,"2.000,00"
Ilmenau Garten GmbH & Co. KG,"Wiedernutzung von brachliegenden Flächen ""An der Wittenberger
Bahn""",,2015,,"678.715,83"
implantcast GmbH,Erarbeitung einer umfassenden Marketing-Strategie,,2009,,"4.000,00"
implantcast GmbH,"Lasergenerierte Tibia Spacer mit Oberflächenmodifikationen zur
nachhalt. Verbesserung des Einwachsverhaltens von Knochengewebe",,2012,,"119.328,11"
Industrie Service Stade,Erstellung einer professionellen Internetpräsenz,,2014,,"4.000,00"
Industriebedarf Niemann-Laes GmbH,Erweiterung der Betriebsstätte,,2012,,"982.738,76"
Industrie-Rohr-Bau GmbH,"Konzeptionelle Beratung zur Erstellung einer professionellen
Internetpräsenz",,2013,,"3.800,00"
Ing. Staatz Tiefbau-GmbH,"Erstellung eines Marketing-Konzeptes für die Ing. Staatz Tiefbau-
GmbH",,2012,,"2.528,00"
Ing.-Holzbau Raap GmbH & Co. KG Raap Dachsysteme,"Konzeptionelle Beratung um neue Kunden zu gewinnen und
bestehende Kunden duch Web-Marketing zu binden.",,2013,,"5.600,00"
Ingenierbüro Klaus Waldvogel,"Beratung bei der vorgesehenen Übergabe des Betriebes an einen
kompetenten Nachfolger",,2015,,"3.600,00"
Ingenieurbüro Fariba Khandanian GmbH i. Gr.,"Gründung und Aufbau des Unternehmens Ingenieurbüro Fariba
Khandanian",,2013,,"18.000,00"
Ingenieurbüro Frey,Lastzyklenzähler für Windenergieanlagen,,2016,,"51.428,75"
Ingenieurbüro Rudolf Hersch,System für Elektroakustische Notfallwarnsysteme,,2009,,"7.593,41"
"Ingenieurgesellschaft für Geotechnik und Umweltmanagement
Prof. Dr.-Ing. Salomo + Partner mbH",Entwicklung eines Corporate Design,,2012,,"3.600,00"
Ingenieurgesellschaft Heidt & Peters mbH,Einstellung eines Innovationsassistenten,,2012,,"12.000,00"
INOQ GmbH,Entwicklung des Produktes Echter Glücksklee als lebende Pflanze,,2015,,"94.941,27"
INOQ GmbH,"Nachhaltige Moorbeetpflanzenproduktion durch nützliche
Mikroorganismen",,2015,,"90.463,10"
Inosens GmbH,Einstellung eines Innovationsassistenten,,2010,,"12.000,00"
Inosens GmbH,Einstellung eines Innovationsassistenten,,2010,,"12.000,00"
Institut für Geopathologie und Elektrosm og,Marketingberatung zur Steigerung der Bonität,,2010,,"2.800,00"
Intelligence Data Communication GmbH,Einstellung eines Innovationsassistenten,,2014,,"7.837,98"
Iris Freyer,Erstellung der Corporate Identity,,2012,,"1.165,96"
IT Netzwerk Nord UG,"Gründung und Aufbau des Unternehmens ITNN - IT Netzwerk Nord
UG",,2013,,"18.000,00"
IT-Center Riemer e.K.,Datenverarbeitung sowie Entwicklung,,2011,,"30.100,00"
J. Hauskeller GmbH,"Konzeptionelle Beratung zur Neuausrichtung des Internet-Auftrittes zur
Neukundengewinnung",,2013,,"10.000,00"
Jacobs GaLaBau GmbH,"Konzeptionelle Beratung zur Erstellung einer professionellen
Internetpräsenz",,2013,,"10.000,00"
Janice Bücker - Fotografie,Erstellung eines professionellen Internetauftrittes,,2012,,"2.000,00"
Jark Verwaltungs GmbH & Co. KG,Erstellung eines Marketingkonzeptes,,2010,,"4.000,00"
Jehlen & Co. Industriebedarf GmbH,"Erwerb eines Gebäudes, Anschaffung v. Maschinen",,2014,,"184.000,00"
JM Ausdrucke aller Art & Werbetechnik JM,Erarbeitung eines Web-Marketing-Konzeptes,,2011,,"1.600,00"
Joachim Alpers GmbH,"Beratung zur Erstellung einer professionellen Internetpräsenz, unter
Beachtung der bisherigen Web-Strategie",,2011,,"4.800,00"
Joachim Behrens Scheessel GmbH,Einstellung einer Innovationsassistenz,,2011,,"12.000,00"
Joachim Behrens Scheessel GmbH,Einstellung einer Innovationsassistentin,,2012,,"12.000,00"
Jochim Textilpflege GmbH,Textilreinigung,,2015,,"59.576,34"
Johannes Schacht Fruchthandels- gesellschaft mbH,Erarbeitung eines professionellen Internetauftrittes,,2014,,"4.000,00"
Johannes Tönnis Heilpraktiker,Beratung zur Erstellung eines individuellen Web-Marketing-Konzeptes,,2013,,"5.600,00"
Jorado Maschinenbau GmbH,Erweiterung der Betriebsstätte,,2011,,"194.900,67"
JR international - Innovative Healthproducts e.K. Inh. Jörg Reeh,Marketingkonzept und Vertriebeserweiterung,,2009,,"2.000,00"
Junker Elektrotechnik,"Konzeptionelle Beratung zur Vorbereitung der
Zielvereinbarungsgespräche mit den Mitarbeitern",,2013,,"10.000,00"
Jürgen Meyer,Planung der Unternehmensnachfolge,,2014,,"2.023,79"
Jurzica & Partner,"Beratung zur Erstellung eines Vermarktungskonzeptes zur Neu-
kundengewinnung durch Web-Marketing",,2014,,"4.400,00"
Juwelier Hennings,Entwicklung einer Strategie zur Erschließung des Internetmarktes,,2011,,"3.840,00"
Juwi MacMillan Group GmbH,Einstellung einer Innovationsassistentin,,2013,,"15.000,00"
K&H Verlags-GmbH,Betriebsverlagerung mit Erweiterung,,2011,,"127.083,84"
Kaffeerösterei de koffiemann GmbH,Erarbeitung eines Web-Marketing-Konzeptes,,2012,,"3.760,00"
Kahrs GmbH,Erarbeiten eines Web-Marketing-Konzeptes,,2011,,"10.000,00"
Kai Engel GmbH Ladenbau-Messebau-Tischlerei,Entwicklung eines Marketingkonzeptes,,2009,,"10.000,00"
Kameleon GmbH & Co. KG,Erarbeitung eines Web-Marketing-Konzeptes,,2011,,"8.000,00"
Kapitalbeteiligungsgesellschaft Niedersachsen mbH,Beteiligungsfonds Zielgebiet Konvergenz,2009,,"16.000.000,00",
kar-bag Designertaschen Inh. Karin Schmitt,"Weiterentwicklung des Unternehmens und Verbesserung der
Chancen auf dem Markt",,2010,,"2.800,00"
Karl Kaus Stiftung für Tier und Natur,Bau eines Beobachtungsturms an einem Flachgewässer,,2009,,"8.463,77"
Karl Kaus Stiftung für Tier und Natur,"Kirchenfledermäuse im Landkreis Lüchow-Dannenberg - Kirchen
schützen ihre Fledermäuse",,2011,,"53.918,11"
Karl Kaus Stiftung für Tier und Natur,Naturerlebnis Waldfledermäuse,,2015,,"86.408,52"
Kartoffelschälbetrieb Hinrichs GmbH,Errichtung einer neuen Betriebsstätte,,2011,,"110.993,02"
Katja Schulze Raumausstattung,Entwicklung von Online-Marketingstrategien,,2013,,"1.120,00"
KDW Green Line Trading GmbH,Planung und Vorbereitung einer Beteiligung,,2015,,"5.000,00"
Kempowski Stiftung- Haus Kreienhoop,"Energetische Sanierung der Gebäudehülle und Schaffung von
barrierefreien Zugängen und Verkehrsflächen",,2015,,"318.862,20"
Kersten Roose Entwicklungscoach für Jugendliche,"Entwicklung einer einheitlichen Linie der Außendarstellung im Print-
und Onlinebereich",,2010,,"1.400,00"
Kewitz Bauabfall und Recycling GmbH,Erweiterung einer bestehenden Betriebsstätte,,2010,,"51.986,58"
KG Hochwild Schutzpark Schwarze Berge GmbH & Co,Bau einer Gehwegrampe,,2015,,"69.242,82"
Klaus Gerdes Ladenbau,Beratung zur stratgischen Neuausrichtung des Internet-Auftrittes,,2013,,"1.500,00"
Kleinstadtdeals UG,Gründung und Aufbau des Unternehmens,,2013,,"18.000,00"
Klimawerk Energieagentur GmbH & Co. KG,innonet.3E,,2015,,"205.955,55"
Klinik Dr. Witwity,Erstellung einer professionellen Internetpräsens,,2012,,"8.400,00"
Klinik Fallingbostel von Graevemeyer GmbH & Co. KG,Entwicklung eines einheitlichen Corporate Designs,,2012,,"10.000,00"
Klostergemeinde Wienhausen,Umnutzung und Modernisierung des ehem. Rathauses in Wienhausen,,2013,,"828.060,42"
Kluge & Neumann GmbH,"Konzepterstellung zur Planung der Unternehmensnachfolge durch
Übernahme der Gesellschaftsanteile",,2012,,"3.600,00"
Knape & Partner GmbH,"Erstellung einer strategisch integrierten Internetseite mit
Vertriebsunterstützung",,2013,,"2.200,00"
Knape & Partner Herrn Sven Knape,Erstellung um Umsetzung eines komplexen Marketingkonzeptes,,2008,,"6.200,00"
Knape & Partner Herrn Sven Knape,"Fortsetzung der Erarbeitung eines Marketingkonzeptes für die
Wachstumsphase des Unternehmens",,2010,,"2.600,00"
KoBe Rail GmbH,Beratung zur Erstellung eines neuen Web-Marketing-Konzeptes,,2014,,"8.800,00"
Koller Maschinen- und Anlagenbau GmbH,"Stärkung und Ausbau der Vertriebsaktivitäten durch die Nutzung
entsprechender Marketingmittel",,2010,,"10.000,00"
König GmbH,Entwicklung einer Betonbohrspritze für Pfahlgründungen,,2016,,"89.622,03"
KON-TIKI Büro für Bildungs- und Erlebnisplanung,Einstellung eines Innovationsassistenten,,2011,,"9.900,00"
Kopp Stahlbau Buxtehude GmbH,"Erstellung einer professionellen Internetpräsenz, unter Beachtung der
bisherigen Web-Strategie",,2011,,"4.800,00"
Körner Stahltore GmbH & Co. KG,Stahl- und Metallbau,,2011,,"201.168,26"
Kosmetikinstitut Anke Maria Heinrich,Beratung zum Corporate Design,,2010,,"2.380,00"
Krabbenschälzentrum GmbH,Errichtung einer Betriebsstätte,2007,,"344.620,64",
Kracke Bau,Beratung zur Ausweitung der Web-Aktivitäten,,2013,,"10.000,00"
Krause Meat International Food Produktion GmbH,Übernahme einer stillgelegten Betriebsstätte,,2010,,"253.248,76"
Krause Schwimmbad-Technik GmbH,Entwicklung eines Web-Marketing-Konzeptes,,2011,,"10.000,00"
Krause und Wilhelmi Elektro GmbH,Erweiterung einer bestehenden Betriebsstätte,,2015,,"90.000,00"
KRD Coatings GmbH,"Schutzverglasung aus polymeren Verbundwerkstoffen mit hohen
Umformgraden",,2015,,"500.000,00"
Kreativ Bastelparadies GmbH,Erarbeitung eines professionellen Internet-Auftrittes,,2012,,"4.000,00"
Kreiskrankenhaus Osterholz,"Energetische Optimierung des Funktionstraktes des
Kreiskrankenhauses Osterholz",,2016,,"2.082.251,19"
Kröger Lohnunternehmen,Entwicklung einer langfristigen Planung,,2012,,"8.000,00"
Krone Filtertechnik GmbH,Beratung zur Erstellung eines neuen Web-Marketing-Konzeptes,,2013,,"10.000,00"
Krüger's Foodfactory,"Konzeptionelle Beratung zur zur Neugestaltung des Onlineshop
Krüger`s Foodfactory",,2013,,"5.000,00"
KS Trading GmbH,Beratung zur Erstellung eines Web-Marketing-Konzeptes,,2014,,"5.000,00"
Kulturstiftung Schloss Agathenburg,Umgestaltung Schloss Agathenburg,,2013,,"946.000,00"
Kummer Maschinenbau GmbH,Errichtung einer Betriebsstätte,2009,,"98.005,74",
Kurgesellschaft Bevensen GmbH,Modernisierung von Einrichtungen der Jod-Sole-Therme,,2013,,"7.741.613,86"
Kurgesellschaft Bevensen GmbH,"Modernisierung der Jod-Sole-Therme durch Schaffung einer Sole- und
SalzWelt Bad Bevensen",,2015,,"2.256.461,28"
Kurt Fredrich Spezialtiefbau GmbH,"Vergrößerung des Pfahldurchmessers beim Vollverdrängungsbohr-
pfahlsystem Fundex auf D550/670mm",,2015,,"88.900,00"
Kusserow Garten- und Landschaftsbau,Optimierung des Marketingkonzeptes,,2010,,"10.000,00"
Kutenholz,"Aufbau einer breitbandigen, elektronischen Kommunikation in der
Gemeinde Kutenholz, Gemeindeteil Mulsum",,2015,,"140.045,00"
Labor-Cuxhaven/FtB Osterloh Andree Osterloh,Einstellung eines Innovationsassistenten,,2011,,"9.800,00"
Labor-Cuxhaven/FtB Osterloh Andree Osterloh,Einstellung einer Innovationsassistentin,,2012,,"12.000,00"
Labor-Cuxhaven/FtB Osterloh Andree Osterloh,Einstellung eines Innovationsassistenten,,2012,,"12.000,00"
Landesverband Metall Niedersachsen/Bremen,Modernisierung der Landesfachschule Metall in Lüneburg,,2014,,"3.056.274,00"
Landgasthof Martin,Optimierung des derzeitigen Marketing- und Vertriebskonzeptes,,2009,,"4.800,00"
Landgasthof Stössel,Ausbau/Umbau des Landgasthofes,,2015,,"350.000,00"
Landkreis Celle,"Entwicklung und Umsetzung desWanderwegekonzeptes
""Wanderparadies Südheide"" für den Naturpark Südheide",,2010,,"50.000,00"
Landkreis Celle,Rundwanderweg Lutter - Erlebnispfad im Naturpark Südheide,,2011,,"15.000,00"
Landkreis Celle,Barrierefreier Rundwanderweg im Naturpark Südheide,,2012,,"241.781,57"
Landkreis Celle,"Richtlinie des Landkreises Celle zur Förderung klein- und mittlerer
Unternehmen (KMU-Förderrichtlinie)",,2010,,"930.766,99"
Landkreis Celle,Umsetzung des Reitwegekonzeptes im Landkreis Celle,,2009,,"45.962,25"
Landkreis Celle,"Erstellung einer Broschüre für Radfahrer und Erstellung von
Informationstafeln",,2012,,"49.590,20"
Landkreis Celle,"Richtlinie des Landkreises Celle zur Förderung klein- und mittlerer
Unternehmen (KMU-Förderrichtlinie)",,2011,,"801.223,38"
Landkreis Celle,"Wanderparadies Südheide - hier: Umsetzung des
Wanderwegekonzeptes für den Naturpark Südheide",,2014,,"380.400,00"
Landkreis Celle,"Richtlinie des Landkreises Celle zur Förderung kleiner und mittlerer
Unternehmen",,2012,,"1.124.512,94"
Landkreis Celle,"Richtlinie des Landkreises Celle zur Förderung kleiner und mittlerer
Unternehmen",,2013,,"540.065,21"
Landkreis Celle,Förderung der Öffentlichkeitsarbeit des Naturparkes Südheide,,2014,,"36.200,40"
Landkreis Celle,Errichtung von Informationstafeln am Lutter-Rundwanderweg,,2014,,"21.096,85"
Landkreis Celle,"Richtlinie des Landkreises Celle zur Förderung kleiner und mittlerer
Unternehmen",,2015,,"94.971,50"
Landkreis Celle,"Umsetzung des Ausschilderungskonzeptes für den Naturpark
Südheide",,2015,,"58.310,23"
Landkreis Celle,"Verbesserung der DSL- Infrastruktur im Gewerbegebiet der Gemeinde
Hermannsburg",,2015,,"132.735,55"
Landkreis Celle,"Verbesserung der DSL- Infrastruktur im Gewerbegebiet der Gemeinde
Eicklingen",,2015,,"84.744,98"
Landkreis Celle,"Verbesserung der DSL- Infrastruktur im Gewerbegebiet der Gemeinde
Lachendorf",,2015,,"159.958,86"
Landkreis Celle,"Verbesserung der DSL- Infrastruktur im Gewerbegebiet der Gemeinde
Wietze",,2015,,"62.824,69"
Landkreis Celle,"Verbesserung der DSL- Infrastruktur in Gewerbegebieten der Stadt
Bergen",,2015,,"106.095,71"
Landkreis Celle,"Verbesserung der DSL- Infrastruktur im Gewerbegebiet der Gemeinde
Adelheidsdorf",,2015,,"98.870,17"
Landkreis Celle,"Verbesserung der DSL- Infrastruktur im Gewerbegebiet der Gemeinde
Hermannsburg, Gemarkung Beckedorf",,2015,,"71.667,68"
Landkreis Celle,"Verbesserung der DSL- Infrastruktur im Gewerbegebiet der Gemeinde
Winsen",,2015,,"99.123,18"
Landkreis Celle,"Richtlinie des Landkreises Celle zur Förderung kleiner und mittlerer
Unternehmen",,2015,,"628.807,67"
Landkreis Celle,"Errichtung von Informationstafeln auf dem Fernwanderweg der
Lüneburger Heide ""Heidschnuckenweg"" im LK Celle",,2015,,"19.846,91"
Landkreis Celle,"Erstellung einer landkreisweiten Netzstrukturplanung für den
Landkreis Celle",,2015,,"154.700,00"
Landkreis Cuxhaven,Alter Postweg ... auf historischen Spuren durch den Landkreis,,2009,,"85.851,53"
Landkreis Cuxhaven,"Richtlinie zur Förderung von Investitionen in kleinen und mittleren
Unternehmen (KMU) im Landkreis Cuxhaven",,2010,,"1.903.446,31"
Landkreis Cuxhaven,KoordinierungsstellePlus Frauen und Wirtschaft,,2009,,"134.561,92"
Landkreis Cuxhaven,Branchenmanagement Gesundheitswirtschaft im Cuxland,,2014,,"209.525,31"
Landkreis Cuxhaven,"Richtlinie zur Förderung von Investitionen in kleinen und mittleren
Unternehmen (KMU) im Landkreis Cuxhaven",,2011,,"760.460,35"
Landkreis Cuxhaven,Koordinierungsstelle Frau und Wirtschaft Landkreis Cuxhaven,,2011,,"169.093,12"
Landkreis Cuxhaven,Koordinierungsstelle Frau und Wirtschaft,,2011,,"175.899,68"
Landkreis Cuxhaven,"Richtlinie zur Förderung von Investitionen in kleinen und mittle ren
Unternehmen (KMU) im Landkreis Cuxhaven",,2012,,"527.756,14"
Landkreis Cuxhaven,Koordinierungsstelle Frau und Wirtschaft,,2012,,"168.215,42"
