Begunstigde,Titel van het project (naam van de concrete actie),Titel van het project in het Engels,Fonds,Autoriteit,Samenvatting,Website project,EU-subsidie in Euro's,Overige publieke financiering,Overige private financiering,Totale kosten in Euro's,Medefinancieringspercentage van de Unie (per prioritaire as),Datum van laatste bijwerking,Begindatum,Einddatum,Thematische doelstelling
Gemeente Emmen,Re-integratie doelgroep 55 plus,,ESF,,"Emmen en een aantal omliggende gemeentes willen met ESF-steun een groep 55-plussers uit de bijstand en aan betaald werk helpen. Dat valt niet mee, want leeftijd en opleiding werken vaak in hun nadeel. Aan de andere kant hebben deze mensen veel werkervaring en levenswijsheid. Daarbij komt nu een individueel trainingsprogramma met begeleiding, scholing en stages. Op die manier moeten werkgevers overtuigd raken van de mogelijkheden van deze groep.",,1.295.272,,,1.295.272,100,11.02.2016,01.11.2009,31.10.2010,
Stichting FAOT,Cordaan Thuiszorg Scholing BBL,,ESF,,Met steun van het ESF krijgen laagopgeleide werknemers van Cordaan Thuiszorg en hun toekomstige collegas de kans hun vakbekwaamheid uit te breiden. Zij verwerven dan minimaal een startkwalificatie (mbo-2) of gaan door tot mbo-4-niveau. Ervaren medewerkers kunnen hun ervaringscertificaat behalen. De toenemende zorgvraag vereist meer dan ooit goed geschoold personeel. Het ESF-project richt zich vooral op jongeren en ouderen.,,214.851,,,214.851,100,11.02.2016,01.09.2009,31.08.2010,
Stichting Arbeidsmarkt Gehandicaptenzorg,Scholingsproject Severinus 2010,,ESF,,"Severinus, een verpleeghuis voor verstandelijk gehandicapten, biedt op grote schaal opleidingsmogelijkheden voor leerling-verpleegkundigen (mbo-4). Dat gebeurt via de Beroepsbegeleidende Leerweg (BBL) en in samenwerking met het ROC Eindhoven. Begeleiding door vakdocenten en stages bij maken deel uit van de opleiding. Het ESF betaalt een deel van de kosten.",,158.942,,,158.942,100,11.02.2016,01.11.2009,31.10.2010,
Stichting FAOT,ESF binnen Thuiszorg Rotterdam,,ESF,,Met het ESF-project verbreedt Thuiszorg Rotterdam de deskundigheid en inzetbaarheid van haar medewerkers. Door het volgen van een opleiding verhogen de werknemers hun perspectief op de arbeidsmarkt. Ook wil de organisatie nieuwe medewerkers aantrekken.,,166.248,,,166.248,100,11.02.2016,01.09.2009,31.08.2010,
O&amp;O fonds voor de Bouwnijverheid,EVC Bouw &amp; Infra 2010,,ESF,,Ruim vijftig procent van de werknemers in de bouwnijverheid is niet of onvoldoende gekwalificeerd voor de functie die zij uitoefenen. Met steun van het ESF willen de sociale partners in de sector daar iets aan doen. Goed geschoold personeel is breder inzetbaar op de arbeidsmarkt en levert betere output. Het ESF-project heeft de ambitie om via de EVC-methodiek (Erkennen Verworven Competenties) laagopgeleide medewerkers aan een startkwalificatie (mbo-2) te helpen. EVC betekent dat in de praktijk verworven vakmanschap gehonoreerd wordt met een officieel certificaat.,,490.257,,,490.257,100,11.02.2016,01.11.2009,31.10.2010,
Stichting Beheer Collectieve Middelen (SBCM),Upgradingsprogramma WML 2009/2010,,ESF,,Werknemers in de sociale werkvoorziening en andere vormen van gesubsidieerde arbeid krijgen via WML bijscholing met steun van het ESF. WML is een erkend leerwerkbedrijf dat veel investeert in de opleiding van zijn mensen. Hun functioneren gaat erop vooruit en daarmee hun motivatie. Ook kunnen zij effectiever op de arbeidsmarkt worden ingezet. Behalve voor medewerkers met een SW-indicatie mogen ook leiding en staf aan de opleidingsactiviteiten deelnemen. Het niveau van de opleidingen is maximaal mbo-4.,,74.113,,,74.113,100,11.02.2016,01.09.2009,31.08.2010,
OTIB,SvW bij Van den Pol Elektrotechniek B.V. 2009-2010,,ESF,,"Van den Pol is een elektrotechnisch installatiebedrijf met ruim 70 jaar ervaring. De ontwikkelingen op het gebied van elektrotechniek gaan zeer snel: er zijn meer geautomatiseerde systemen en strengere milieueisen. Vaardigheden en competenties van medewerkers moeten daarmee in de pas lopen. Van den Pol hecht daarom veel belang aan voortdurende bijscholing van de eigen mensen. Het bedrijf laat met behulp van ESF 180 laagopgeleide medewerkers een reeks opleidingen volgen tot maximaal mbo-4-niveau. Het gaat om technisch personeel, maar ook medewerkers met een administratieve of organisatorische functie doen mee. De werknemers verbreden en verdiepen daarmee hun kennis en kunde. Vervolgens zijn ze breder inzetbaar en vervullen ze hun functie beter.",,71.136,,,71.136,100,11.02.2016,01.09.2009,31.08.2010,
Stichting Arbeidsmarkt Gehandicaptenzorg,Amerpoort leert &amp; ontwikkelt,,ESF,,"Amerpoort, een organisatie voor zorg aan mensen met een verstandelijke beperking, voert met steun van ESF-subsidie een actief opleidingsbeleid uit. Het scholen van de medewerkers is nodig vanwege de vergrijzing, een dreigend tekort aan zorgpersoneel en hogere eisen aan de kwaliteit van de zorg. De deelnemers verkrijgen met het afronden van een opleiding de vereiste kennis en vaardigheden. Hierna zijn ze beter inzetbaar. Nieuwe medewerkers krijgen de kans om in te stromen via lerend werken. Het gaat om opleidingen tot en met mbo-4-niveau.",,102.246,,,102.246,100,11.02.2016,01.09.2009,31.08.2010,
OTIB,TES Installatietechniek 2009,,ESF,,Doelstelling van het ESF-project is om de competenties van de medewerkers te verbeteren. Om dit te realiseren heeft TES installatietechniek een opleidingspakket ontwikkeld. In totaal krijgen 325 medewerkers intern scholing.,,33.891,,,33.891,100,11.02.2016,01.10.2009,30.09.2010,
Stichting Beheer Collectieve Middelen (SBCM),Upgradingsprogramma MTB Maastricht  2009/2010,,ESF,,"Het ESF-project is bedoeld om een deel van de werknemers van MTB bij te scholen. De deelnemers, allen werkzaam in de sociale werkvoorziening, bereiken hierdoor een hoger kennisniveau. De motivatie van de medewerkers neemt toe en ook hun kansen op detachering. Het maximale niveau van de opleidingen is mbo-4. De ontwikkelingen op de arbeidsmarkt vragen om een voortdurende aanpassing van de vaardigheden van het personeel. MTB heeft dan ook in een vroeg stadium erkenning als leer-werkbedrijf behaald. Daarnaast investeert het bedrijf in externe scholing. MTB verzorgt voor vier gemeenten in Zuid-Limburg de uitvoering van diverse regelingen voor gesubsidieerde arbeid, zoals de Wet Sociale Werkvoorziening (WSW). Het bedrijf heeft ongeveer 1.450 werknemers met een arbeidsbeperking. Daarnaast is MTB actief op het gebied van re-integratie.",,252.412,,,252.412,100,11.02.2016,01.11.2009,31.10.2010,
OTIB,"Installatiewerk, dat werkt !",,ESF,,Het ESF-project stimuleert jongeren met een vmbo- of mavo-diploma om in de elektrotechniek te gaan werken. Ze krijgen een BBL-opleidingstraject (Beroepsbegeleidende Leerweg) aangeboden. De jongeren doen werkervaring op bij meerdere bedrijven in de eigen regio. Ook voeren ze praktijkopdrachten uit in nagebootste praktijksituaties en ze krijgen theorieles op een ROC. Deze werknemers worden uiteindelijk monteurs met een wettelijk erkend diploma en een ruime werkervaring.,,983.451,,,983.451,100,11.02.2016,01.11.2009,31.10.2010,
Gemeente Emmen,Re-integratie doelgroep niet-uitkeringsontvangers,,ESF,,Veel niet-uitkeringsontvangers hebben begeleiding nodig bij het vinden van een baan. Hun opleidingsniveau is bijvoorbeeld laag of ze beschikken niet meer over de goede contacten om zelfstandig aan een baan te komen. De samenwerkende gemeenten en het UWV helpen deze mensen via een re-integratietraject. Ze ontvangen daarvoor subsidie van het ESF. De deelnemers volgen een werkstage of opleiding. Daarnaast krijgen ze ondersteuning bij het solliciteren en het vinden van een geschikte vacature. Ook bieden de gemeenten en UWV nazorg na plaatsing op een baan.,,675.262,,,675.262,100,11.02.2016,01.11.2009,31.10.2010,
Opleiding- en Ontwikkelingsfonds Waterbedrijven,WML - Competentieverhoging 2010,,ESF,,"Waterleiding Maatschappij Limburg (WML) verhoogt met subsidie van het ESF het kwalificatieniveau van zijn medewerkers. Daarmee komt de juiste man op de juiste plek, goed voor werknemer ̩n bedrijf. De medewerker is na zijn bijscholing breder inzetbaar en zijn carri̬rekansen zijn toegenomen, ook buiten WML. Goede oudere medewerkers worden bijvoorbeeld via de BBL-trajecten (Beroepsbegeleidende Leerweg) omgeschoold.",,295.728,,,295.728,100,11.02.2016,01.10.2009,30.09.2010,
O&amp;O fonds ENb,Vakbekwaamheidsopleidingen Afval &amp; Milieu,,ESF,,"Dit ESF project verbetert de positie van de laagst opgeleide medewerkers binnen de afvalinzamelbedrijven. Door strengere wet- en regelgeving en toegenomen mechanisering is bijscholing noodzakelijk. Het gaat om chauffeursopleidingen, veiligheidsscholing, cursussen voertuigbediening en training rijgedrag. De subsidieaanvrager het Opleidings- &amp;amp; Ontwikkelingsfonds Energie en Nutsbedrijven (O&amp;amp;O fonds ENb) werkt voor die bedrijven die zijn aangesloten bij de Werkgeversvereniging ENb. Deze bedrijven bewegen zich in de branches energie, afval &amp;amp; milieu en kabel &amp;amp; telecom. Het fonds subsidieert scholing en ontwikkelt opleidingen waardoor het personeel breder inzetbaar wordt.",,198.200,,,198.200,100,11.02.2016,01.09.2009,31.08.2010,
A+O fonds Gemeenten,Opleidingen Stadsbank Oost Nederland II,,ESF,,"Wie in de schuldsanering werkzaam is, moet tegenwoordig een door de overheid erkend certificaat hebben. Dat geldt zowel voor de organisatie als voor de individuele medewerker. De Stadsbank Oost Nederland bereidt zijn werknemers voor op het verplichte examen en op het invoeren van de schuldhulpverlening nieuwe stijl. Met steun van het ESF breiden de medewerkers van de bank hun kennis en vaardigheden uit.",,57.591,,,57.591,100,11.02.2016,01.11.2009,31.10.2010,
FCB,Trainingsaanbod met subsidie 2009-2010,,ESF,,"FCB ondersteunt directies, P&amp;amp;Oers, OR-leden en werknemers in de branches Welzijn &amp;amp; Maatschappelijke Dienstverlening, Jeugdzorg of Kinderopvang. Met behulp van ESF-gelden mogen medewerkers trainingen volgen. Ze ontwikkelen daarmee de nodige kennis en vaardigheden. Vervolgens vervullen ze hun functie beter.",,673.630,,,673.630,100,11.02.2016,01.11.2009,31.10.2010,
A+O fonds Gemeenten,Scholing gemeentepersoneel Drentse Gemeenten,,ESF,,"Het wordt steeds moeilijker voor gemeenten om goed personeel te krijgen. Om te voorkomen dat zij in elkaars vijver gaan vissen, is met steun van het ESF een opleidingsprogramma van start gegaan. Dat zorgt voor een betere doorstroming van medewerkers en een doelgerichte scholing van nieuwkomers. Communicatie en omgang met agressie is een belangrijk aandachtspunt voor de gemeenten.",,774.658,,,774.658,100,11.02.2016,01.09.2009,31.08.2010,
A+O fonds Gemeenten,"Gemeente Amsterdam, scholing medewerkers DWI 09/10",,ESF,,"De Dienst Werk en Inkomen is het resultaat van een fusie tussen de Sociale Dienst Amsterdam, Maatwerk Amsterdam en NV Werk. De scholingsactiviteiten van dit ESF-project bereiden de medewerkers voor op hun positie in de nieuwe organisatie. Tegelijkertijd verbetert hun positie op de arbeidsmarkt.",,56.010,,,56.010,100,11.02.2016,01.10.2009,30.09.2010,
A+O fonds Gemeenten,Scholing medewerkers Afval Energie Bedrijf - A�dam,,ESF,,Scholing van werknemers van het Afval Energiebedrijf van de gemeente Amsterdam is gunstig voor zowel de organisatie als voor de medewerkers zelf. Zij kunnen met steun van het ESF een opleiding krijgen tot maximaal mbo-4-niveau. Daarmee versterken zij hun positie op de arbeidsmarkt.,,98.862,,,98.862,100,11.02.2016,01.11.2009,31.10.2010,
A+O fonds Gemeenten,"Handhaven op Normniveau, Stadstoezicht Gem A'dam",,ESF,,Het werkveld van Handhaven &amp;amp; Toezicht van de gemeente Amsterdam verandert snel. De functie-eisen gaan omhoog en de medewerkers moeten breder inzetbaar zijn. De lat ligt daardoor te hoog voor een deel van de medewerkers. Het is dus belangrijk om het personeel goed voor te bereiden op de ontwikkelingen in het vakgebied. Met behulp van ESF-gelden verzorgt Handhaven &amp;amp; Toezicht (bij)scholing voor de werknemers. De deelnemers vergroten daarmee hun inzetbaarheid en hun kansen op werk.,,302.168,,,302.168,100,11.02.2016,01.11.2009,31.10.2010,
A+O fonds Gemeenten,GVB Exploitatie BV �� Opleidingen 2009-2010,,ESF,,"GVB kampt met een grote populatie laag- of niet-geschoolde werknemers. Het betreft een grote groep instromers jonger dan 24 en een grote groep medewerkers ouder dan 45 jaar. Het GVB brengt zijn werknemers met subsidie van het ESF naar een hoger opleidingsniveau. Welke opleiding zij ook volgen, uiteindelijk staat alles in het kader van een betere dienstverlening aan de reiziger. De medewerkers zelf profiteren er ook van: zij verhogen hun perspectief op de arbeidsmarkt en verbreden hun inzetbaarheid, evenals hun doorgroeimogelijkheden. Het programma voorziet onder meer in de volgende opleidingen: Incidenten, veiligheid en weerbaarheid; Bestuurder; Conducteur; Techniek en werkplaats en Overige opleidingen. De opleidingen gaan tot mbo-4-niveau.",,1.107.542,,,1.107.542,100,11.02.2016,01.10.2009,30.09.2010,
O&amp;O fonds ENb,Basistrainingen sector Kabel &amp; Telecom 2010,,ESF,,UPC en Ziggo leiden met meefinanciering van het ESF monteurs en callcentermedewerkers op. Het gaat om zittend en nieuw personeel. Vooral het fusiebedrijf Ziggo verwacht veel nieuwe instroom en nieuwe functies. Het opleidingsprogramma richt zich nadrukkelijk op medewerkers en werkzoekenden zonder startkwalificatie (mbo-2). Ook herintreders zijn van harte welkom bij de scholingsactiviteiten.,,255.270,,,255.270,100,11.02.2016,01.11.2009,31.10.2010,
Stichting FAOT,"HilverZorg, Scholing ESF 2009/2010",,ESF,,Het is belangrijk dat er goed opgeleid en voldoende personeel in de zorgsector werkt om de kwaliteit van de zorg op peil te houden. Stichting HilverZorg stelt daarom prioriteit aan het (bij)scholen van nieuwe en huidige medewerkers. Ook vindt de stichting het belangrijk dat medewerkers een diploma halen op het niveau dat bij hen past. Hiervoor besteedt HilverZorg speciale aandacht aan het Beroepsbegeleidend Leren (BBL) en de bijbehorende begeleiding. Het personeel verkrijgt zo een sterkere arbeidspositie,,105.802,,,105.802,100,11.02.2016,01.08.2009,31.07.2010,
Stichting Opleidings- en ontwikkelingsfonds voor semiconductor productiebedrijven,ESF 2009-2010,,ESF,,"NXP is actief op het gebied van chips en software. Het is een complexe markt waar innovatie, (wereldwijde) concurrentie, prijserosie en onvoorspelbaarheid sterk overheersen. Belangrijk is om hierop in te kunnen spelen. Voortdurende scholing en training zijn daarom van levensbelang voor NXP. Het bedrijf heeft relatief veel ongeschoold of laaggeschoold personeel in dienst, dat werkzaam is op de productieafdeling. Met behulp van ESF-gelden verzorgt NXP opleidingen voor de medewerkers. Zo verkrijgen ze de nodige kennis en vaardigheden. Na de opleiding is het mogelijk door te stromen naar een functie op een ander niveau en zijn de werknemers breder inzetbaar. Daarnaast hebben ze een betere positie op de arbeidsmarkt.",,1.218.082,,,1.218.082,100,11.02.2016,01.04.2009,31.03.2010,
Stichting Sectorfonds Financiele Dienstverlening,"SvW7 - AbnAmro, Fortis en ASR",,ESF,,"De medewerkers van ABN AMRO, Fortis Bank Nederland en ASR-verzekeringen zijn in eerste instantie zelf verantwoordelijk voor hun professionele inzetbaarheid en ontwikkeling. Zij worden daarbij geholpen door de ABN AMRO Academy. Speciaal voor de medewerkers voor wie extra scholing harde noodzaak is, heeft de bank het project Scholing van werkenden 7 ontwikkeld. Dat is onderdeel van de personele ontwikkeling van de bank en inmiddels de basis van het gelijknamige EFS-project. Het doel van het ESF-project is het vergroten van het aanpassingsvermogen en daarmee de bredere inzetbaarheid van het personeel. De bank selecteert medewerkers individueel en in groepsverband op basis van competentietesten en persoonlijke gesprekken. Na de scholing hebben deze werknemers hun kennis en vaardigheden op een hoger niveau gebracht. Daarmee vergroten zij hun doorgroeimogelijkheden en kansen op de arbeidsmarkt.",,2.686.748,,,2.686.748,100,11.02.2016,01.11.2009,31.10.2010,
OTIB,Heinen &amp; Hopman - Scholing 2009,,ESF,,"Dit ESF-scholingsproject voorziet in cursussen, opleidingen en trainingen voor laag opgeleide werknemers van Heinen &amp;amp; Hopman Spakenburg BV. Het gaat vooral om technisch personeel, maar ook medewerkers met een administratieve of organisatorische functie doen mee. Zo verbeteren zij hun positie op de arbeidsmarkt en vergroten zij hun carri̬rekansen binnen het bedrijf. De technische ontwikkelingen op het gebied van klimaatsystemen gaan zeer snel: meer automatisering, strengere milieueisen. Vaardigheden en competenties van medewerkers moeten daarmee in de pas lopen. Heinen &amp;amp; Hopman hecht daarom veel belang aan voortdurende bijscholing van de eigen mensen.",,65.061,,,65.061,100,11.02.2016,01.09.2009,31.08.2010,
O&amp;O fonds ENb,Enexis Netwerktrainingen 2009,,ESF,,Enexis verzorgt met behulp van ESF-gelden opleidingen op maximaal mbo-niveau voor de medewerkers. Zo brengt het bedrijf de kennis en vaardigheden van het personeel op peil. De werknemers verhogen hun perspectief op de arbeidsmarkt.,,284.992,,,284.992,100,11.02.2016,01.04.2009,31.03.2010,
Stichting Opleidingsfonds Beveiligingsbranche (SOBB),"Securitas Beveiliging BV, opleidingen 2009-2010",,ESF,,"Securitas Beveiliging BV schoolt zijn werknemers bij, zodat zij blijven voldoen aan de steeds hogere eisen die de beveiligingsbranche stelt. Het scholingsproject richt zich vooral op de laagopgeleide medewerkers en krijgt subsidie van het ESF. Na het afronden van de opleiding zijn de cursisten breder inzetbaar op het werk en minder kwetsbaar op de arbeidsmarkt.",,173.542,,,173.542,100,11.02.2016,01.09.2009,31.08.2010,
