Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung,Jahr der Restzahlung,Gewährte Beträge 1,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge 1
"Gleitlager u. Metallverarb. GmbH
Osterwieck",Neue Werkstoffe und Technologien im Gleitlagerbau,2007,2009," 74.400,00"," 74.400,00"
"Gleitlager u. Metallverarb. GmbH
Osterwieck",Sqeeze-Casting-Verfahren,2010,2011," 71.250,00"," 71.250,00"
"Gleitlager u. Metallverarb. GmbH
Osterwieck und","Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2011,2013," 140.000,00"," 140.000,00"
"Gleitlager u. Metallverarb. GmbH
Osterwieck und",Erweiterung einer Betriebsstätte,2009,2012," 406.200,00"," 406.200,00"
Global Fliegenschmidt GmbH,"Durch die Entwicklung eines neuartigen, unkonventionellen
Entsorgungsverfahrens für mobile Toilettenanlagen wird eine
Gewichtsreduktion des Fäkalientanks bzw. des
Gesamtsystems angestrebt, um ein Produkt auf den Markt zu
bringen, was den neuen gesetzliche",2011,2015," 15.781,17"," 15.781,17"
Global Fliegenschmidt GmbH,Grundlegende Änderung des Gesamtproduktionsverfahrens,2011,2014," 203.600,00"," 203.600,00"
glyXera GmbH,"Marktstudien zu Unternehmen und Einrichtungen die sich mit
dem Thema Antibody Herstellungsverfahren und Produkten
beschäftigen",2012,2013," 9.090,00"," 9.090,00"
"Glück auf Apotheke Angela Thieme
e.Kfr.",Organisationsoptimierung,2011,2012," 1.800,00"," 1.800,00"
Glüherei Magdeburg GmbH,Erweiterung einer Betriebsstätte,2011,2013," 225.471,48"," 225.471,48"
"GMZ Gröninger Maschinenbau und
Zerspanungstechnik GmbH",Erweiterung einer Betriebsstätte,2009,," 0,00",
"GMZ Gröninger Maschinenbau und
Zerspanungstechnik GmbH",Organisationsoptimierung,2010,," 0,00",
"GMZ Gröninger Maschinenbau und
Zerspanungstechnik GmbH",Organisationsoptimierung,2010,2010," 9.000,00"," 9.000,00"
"GMZ Gröninger Maschinenbau und
Zerspanungstechnik GmbH",Stärkung des Innovationspotentials,2010,2012," 9.000,00"," 9.000,00"
"GNS-Gesellschaft für Nachhaltige
Stoffnutzung mbH",Marketing,2008,2008," 3.600,00"," 3.600,00"
"GNS-Gesellschaft für Nachhaltige
Stoffnutzung mbH",Pollutec `2008 Ort: Lyon,2008,2009," 2.565,24"," 2.565,24"
Gogolok Industrieservice GmbH,Expopower  ́2012 Ort: Posen,2012,2016," 0,00"," 0,00"
Goldeck Süßwaren GmbH,Grundlegende Änderung des Gesamtproduktionsverfahrens,2010,2013," 1.660.000,00"," 1.660.000,00"
Goldstück GmbH,"Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2009,2011," 61.801,14"," 61.801,14"
Goldstück GmbH,Erweiterung einer Betriebsstätte,2013,2014," 166.650,00"," 166.650,00"
"Gollmann Kommissioniersysteme
GmbH","Analyse des Marktpotenzials für automatisierte Lagersysteme
in den entwickelten Ländern der EU",2011,2012," 73.905,00"," 73.905,00"
"Gollmann Kommissioniersysteme
GmbH","Analyse des Marktpotenzials und der Produktanforderungen
für den Einsatz von Gollmann Lagerautomaten in der Logistik
für klinische Studien und innerbetrieblichen Logistik für
Blisterzentren",2012,2013," 74.592,00"," 74.592,00"
"Gollmann Kommissioniersysteme
GmbH","Automatenentwicklung speziell für Einzel-Dosis
Arzneimittelabgabe mit Abgabesystem auf Tabletten- nichtPackungsbasis",2011,2015," 463.962,00"," 463.962,00"
"Gollmann Kommissioniersysteme
GmbH","Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2008,2010," 214.300,00"," 214.300,00"
"Gollmann Kommissioniersysteme
GmbH","Gollmann Industrieautomat; vollautomatisches
Kommissionierungsystem",2008,2011," 409.252,00"," 409.252,00"
Gommern,"Radweg an der K 1220, 1. Bauabschnitt Gommern-Pöthen
(86-RW-0002)",2012,2015," 306.821,94"," 306.821,94"
Gordon Seiptius,CHIILLVENTA  ́2008 Ort: Nürnberg,2008,2009," 4.290,95"," 4.290,95"
Gordon Seiptius,Chillventa  ́2010 Ort: Nürnberg,2010,2010," 6.500,00"," 6.500,00"
"GOSAG Stahl- und Anlagenbau
GmbH","Einführung einer Kaltgießtechnologie und innovativer
Werkstoffe zum Verfüllen von Stahlhohlprofilen",2012,2013," 56.062,50"," 56.062,50"
"GOSAG Stahl- und Anlagenbau
GmbH","Prüfstand für erdbebensichere Tragwerksstrukturen aus
speziell gefüllten Stahlhohlprofilen",2013,2015," 99.751,83"," 99.751,83"
"GOSAG Stahl- und Anlagenbau
GmbH",Risikomanagement,2010,2011," 6.750,00"," 6.750,00"
"GOSAG Stahl- und Anlagenbau
GmbH",Stärkung des Innovationspotentials,2010,2010," 9.000,00"," 9.000,00"
"Gotsch Stahl- und Apparate- bau
Magdeburg GmbH",Erweiterung einer Betriebsstätte,2008,2011," 472.500,00"," 472.500,00"
"Gotsch Stahl- und Apparate- bau
Magdeburg GmbH",Organisationsoptimierung,2012,2014," 4.500,00"," 4.500,00"
"Gotsch Stahl- und Apparate- bau
Magdeburg GmbH",Risikomanagement Fachkräftesicherung,2012,2014," 1.500,00"," 1.500,00"
"Gotsch Stahl- und Apparate- bau
Magdeburg GmbH",Stärkung des Innovatiospotentials,2012,2014," 3.000,00"," 3.000,00"
"GRAEFF Container und Hallenbau
GmbH",Erweiterung einer Betriebsstätte,2010,," 0,00",
Graepel Seehausen GmbH & Co.KG,"Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2011,2014," 922.511,48"," 922.511,48"
"Grafisches Centrum Cuno GmbH &
Co. KG",Organisationsoptimierung,2008,2009," 3.600,00"," 3.600,00"
"Große & Sohn GmbH Baufachhandel
Quedli",Risikomanagement,2009,2009," 6.000,00"," 6.000,00"
Große Bau- u. Transport GmbH,Risikomanagement,2010,2011," 9.000,00"," 9.000,00"
"Gruhn Stahl- und
Transportpalettenbau GmbH",Erweiterung einer Betriebsstätte,2008,2013," 111.200,00"," 111.200,00"
Gruneberg GmbH,Marketing,2012,2014," 5.400,00"," 5.400,00"
Gruneberg GmbH,Marketing,2009,2011," 13.500,00"," 13.500,00"
Gruneberg GmbH,Organisationsoptimierung,2007,2008," 3.600,00"," 3.600,00"
Gruneberg GmbH,"Sanierung und Ertüchtigung größerer erdgedeckter Tanks für
Treibstoffreserven Teilprojekt: Neuartige
Beschichtungssysteme aus Flüssigkunstharzen",2009,2012," 163.123,00"," 163.123,00"
Gruneberg GmbH,mitteldeutsche handwerksmesse  ́2009 Ort: Leipzig,2009,2016," 0,00"," 0,00"
"Gräfenhainicher
Wohnungsgesellschaft mbH","Abriss Wohnbock in der Straße des Friedens 95-99 in 06772
Gräfenhainichen, OT Zschornewitz",2015,2015," 45.101,50"," 45.101,50"
Gröbzig,"Lange Straße, Straßenbau",2009,2010," 126.902,09"," 126.902,09"
"Grünbau-Service Patzer & Geffert
GbR",Balsampappel,2008,2011," 206.899,00"," 206.899,00"
"Grünbau-Service Patzer & Geffert
GbR","Entwicklung innovativer Verfahren zur Herstellung von
Vegetationsmatten aus pflanzlichen Reststoffen unter
Prüfung unterschiedlicher Herstellungstechniken",2012,2014," 46.779,04"," 46.779,04"
GST Metallsysteme GmbH,Erweiterung einer Betriebsstätte,2008,2008," 127.499,75"," 127.499,75"
GtB Glastechnik Bosse GmbH,Risikomanagement,2012,2015," 3.600,00"," 3.600,00"
GtB Glastechnik Bosse GmbH,Risikomanagement,2010,2012," 7.200,00"," 7.200,00"
GTS Gebäudetechnik Service GmbH,Risikomanagement,2010,2016," 0,00"," 0,00"
"Guardian Flachglas GmbH und
Guardian Thalheim GmbH",Erweiterung einer Betriebsstätte,2010,2016," 0,00"," 0,00"
Gudrun Dame,Unternehmensnachfolge,2010,2011," 4.800,00"," 4.800,00"
"GUH GASVERTRIEBS UND -
HEIZUNGSBAU GMBH",Risikomanagement,2008,2009," 3.600,00"," 3.600,00"
Guido Schmalz,Risikomanagement,2013,2015," 1.800,00"," 1.800,00"
Guido Zahn,Stärkung des Innovationspotentials,2008,2010," 1.800,00"," 1.800,00"
Guido Zahn,Stärkung des Innovationspotentials,2008,2010," 3.600,00"," 3.600,00"
Gunnar Schade,Errichtung einer Betriebsstätte,2009,2013," 10.597,65"," 10.597,65"
Gunnar Schwalenberg,Risikomanagement,2010,2011," 9.000,00"," 9.000,00"
GUNZ Warenhandels GmbH,Errichtung einer Betriebsstätte,2010,2015," 6.597.894,08"," 6.597.894,08"
Gurimo-tex Textilgesellschaft mbH,"Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2010,2016," 0,00"," 0,00"
Gurimo-tex Textilgesellschaft mbH,Spielwarenmesse '2013 Ort: Nürnberg,2013,2013," 6.500,00"," 6.500,00"
Gurimo-tex Textilgesellschaft mbH,Spielwarenmesse International Toy Fair  ́2009 Ort: Nürnberg,2009,2009," 4.732,00"," 4.732,00"
Gurimo-tex Textilgesellschaft mbH,Spielwarenmesse `2011 Ort: Nürnberg,2011,2011," 6.382,66"," 6.382,66"
Gurimo-tex Textilgesellschaft mbH,"Spielwarenmesse  ́2010 - International Toy Fair Ort:
Nürnberg",2010,2010," 6.234,06"," 6.234,06"
Gurimo-tex Textilgesellschaft mbH,"Spielwarenmesse  ́2012 - International Toy Fair Ort:
Nürnberg",2012,2012," 6.303,60"," 6.303,60"
Gurimo-tex Textilgesellschaft mbH,Spielwarenmesse  ́2014 Ort: Nürnberg,2014,2014," 6.500,00"," 6.500,00"
Gurimo-tex Textilgesellschaft mbH,Spielwarenmesse  ́2015 Ort: Nürnberg,2015,2015," 6.500,00"," 6.500,00"
Günter Binde,"Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2010,2012," 88.853,43"," 88.853,43"
Günter Döbelt,"Abriss einer ungenutzten Lagerhalle, Arnsdorf, Flur 6,
Flurstück 48",2011,2012," 23.265,22"," 23.265,22"
Günter Heinrichs,SaaleBau  ́2010 Ort: Halle,2010,2010," 1.687,20"," 1.687,20"
Günter Krellig,Stärkung des Innovationspotentials,2010,2010," 4.800,00"," 4.800,00"
Günter Schulz GmbH & Co. KG,Organisationsoptimierung,2014,2015," 3.600,00"," 3.600,00"
Günter Schulz GmbH & Co. KG,Organisationsoptimierung,2008,2008," 5.400,00"," 5.400,00"
Günter Schulz GmbH & Co. KG,Organisationsoptimierung,2009,2010," 5.850,00"," 5.850,00"
Günter Schulz GmbH & Co. KG,Organisationsoptimierung,2010,2012," 10.800,00"," 10.800,00"
Günter Schulz GmbH & Co. KG,Risikomanagement,2012,2014," 4.800,00"," 4.800,00"
Günter Wiemann,Erweiterung einer Betriebsstätte,2008,2013," 397.700,00"," 397.700,00"
Günter Wiemann,"Modernisierung des Online-Shops und Entwicklung einer
mobilen Lehrmittelplattform (MLP)",2013,2015," 60.000,00"," 60.000,00"
Günther Deutschbein,Marketing,2007,2008," 1.500,00"," 1.500,00"
Günther Pachali,Organisationsoptimierung,2014,2016," 0,00"," 0,00"
"GüSchu Stanzwerk GmbH und
Aktame GbR","Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2011,2014," 126.850,00"," 126.850,00"
GÜWAG Engineering GmbH,Agra  ́2009 Ort: Leipzig,2009,2010," 5.200,00"," 5.200,00"
GÜWAG Engineering GmbH,Agra  ́2011 Ort: Leipzig,2011,2012," 6.500,00"," 6.500,00"
GÜWAG Engineering GmbH,Agra  ́2013 Ort: Leipzig,2013,2014," 5.944,36"," 5.944,36"
"H & B OMEGA Europa GmbH
Werkzeug- und Maschinenbau","Entwicklung von Verfahren zur zerstörungsfreien Prüfung von
Reibschweißverbindungen",2012,2013," 57.000,00"," 57.000,00"
H & E Bohrtechnik GmbH,Organisationsoptimierung,2008,2009," 2.400,00"," 2.400,00"
H & E Bohrtechnik GmbH,Organisationsoptimierung,2007,2007," 3.600,00"," 3.600,00"
H & E Bohrtechnik GmbH,Stärkung des Innovationspotentials,2009,2009," 3.600,00"," 3.600,00"
H & W Hotel GbR,Risikomanagement,2010,2011," 7.800,00"," 7.800,00"
H & W Hotel GbR,Unternehmensnachfolge,2010,2011," 7.800,00"," 7.800,00"
H+E Logistik GmbH,Errichtung einer Betriebsstätte,2009,2012," 765.000,00"," 765.000,00"
H+E Logistik GmbH,Erweiterung einer Betriebsstätte,2012,2014," 240.135,00"," 240.135,00"
"H. & G. Bischoff GbR u. Bischoff
Federnwerk GmbH","Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2009,2010," 70.500,00"," 70.500,00"
HA2 Medizintechnik GmbH,"Entwicklung einer Trachealkanüle aus TPU auf der
Grundlage eines trocken gebogenen Außenrohres incl.
Biegetechnologie",2012,2014," 32.547,61"," 32.547,61"
HA2 Medizintechnik GmbH,Erweiterung einer Betriebsstätte,2010,2014," 1.005.647,37"," 1.005.647,37"
HaDi-Service Ltd.,Risikomanagement,2010,2011," 5.400,00"," 5.400,00"
HAEMA AG,Errichtung einer Betriebsstätte,2011,2013," 130.444,18"," 130.444,18"
Hagen Gogolok,Außenwirtschaftsberatung,2008,2008," 2.400,00"," 2.400,00"
Hagen Gogolok,Außenwirtschaftsberatung,2007,2008," 3.600,00"," 3.600,00"
Haiko Buchholz,DKM  ́2009 Ort: Dortmund,2009,2010," 5.200,00"," 5.200,00"
Halberstadt,Domhang - Freifläche,2010,2012," 520.046,28"," 520.046,28"
Halberstädter Holz- Hausbau GmbH,Erweiterung einer Betriebsstätte,2010,2012," 68.983,51"," 68.983,51"
Halberstädter Landwurst GmbH,Int. Grüne Woche '2013 Ort: Berlin,2013,2016," 0,00"," 0,00"
Halberstädter Landwurst GmbH,Internationale Grüne Woche Berlin  ́2012 Ort: Berlin,2012,2012," 6.500,00"," 6.500,00"
Halberstädter Landwurst GmbH,"Überführung, Anpassung und Transfer eines Verfahrens zur
Senkung der Masseverluste bei der postmortalen
Behandlung von Schlachttierkörpern (Schwein) bei
gleichzeitiger Erhöhung der Lagerfähigkeit",2011,2016," 0,00"," 0,00"
"Halberstädter Technische
Werkstätten GmbH",Erweiterung einer Betriebsstätte,2009,2013," 31.101,84"," 31.101,84"
Haldensleben,Ausbau Steinstraße,2011,2015," 294.102,21"," 294.102,21"
Haldensleben,Mehrgenerationenhaus 2.BA,2011,2015," 1.877.045,00"," 1.877.045,00"
Haldensleben,Parkdeck am Mehrgenerationenhaus,2011,2015," 661.000,00"," 661.000,00"
Haldensleben,Sanierung Stendaler Torturm,2014,2014," 53.707,80"," 53.707,80"
Haldensleben,"Tiefbaumaßnahme - Ausbau Stendaler Str. in Haldensleben,
Abschnitt Lange Straße bis Grenze Sanierungsgebiet",2008,2010," 818.000,00"," 818.000,00"
Haldensleben,"Tiefbaumaßnahme - Ausbau der Stendaler Straße, 1. BA
Haldensleben",2007,2009," 218.000,00"," 218.000,00"
Halle,Drehscheibe Halle,2008,2010," 22.035,17"," 22.035,17"
Halle,"Errichtung der Brücke Eissporthalle - erste Ausbaustufe
(Peißnitzbrücke)",2012,2014," 300.000,00"," 300.000,00"
Halle,Franckesche Gärten,2007,2010," 433.246,74"," 433.246,74"
Halle,"Generationspark am Tallinn, 2. BA",2011,2013," 259.982,39"," 259.982,39"
Halle,"Neubau der Kulturstiftung des Bundes, Franckeplatz 2",2011,2014," 450.000,00"," 450.000,00"
Halle,"Quartier am Tulpembrunnen - Aufwertung öffentlicher Raum,
Freiflächengestaltung",2007,2010," 536.036,04"," 536.036,04"
Halle,"Quartier am Tulpenbrunnen - Aufwertung öfentlicher Raum -
Spielplatz",2009,2010," 109.702,72"," 109.702,72"
Halle,"Quartier am Tulpenbrunnen, AW öff. Raum, Spielplatz",2008,2009," 5.348,98"," 5.348,98"
Halle,Saline Freifläche - Badeingang -  Baumaßnahme,2009,2012," 57.335,01"," 57.335,01"
Halle,"Saline Freifläche, Ideenwerkstatt Sience Center",2008,2009," 9.733,60"," 9.733,60"
Halle,"Saline Freiflächen, Ordnungsmaßnahmen",2009,2012," 327.245,23"," 327.245,23"
Halle,"Saline Freiflächen, Ordnungsmaßnahmen",2007,2012," 689.102,92"," 689.102,92"
Halle,Salinebrücke - Kotgrabenbrücke,2008,2012," 71.392,00"," 71.392,00"
Halle,Salinebrücke-Kotgrabenbrücke,2009,2012," 418.634,92"," 418.634,92"
Halle,Sozialraum Steg,2007,2010," 100.000,00"," 100.000,00"
Halle,Spielplatz Thaliawiese,2011,2015," 270.000,00"," 270.000,00"
Halle,"Umbau und Erweiterung Steintorschule zur Jugendherberge,
Große Steinstraße 60",2013,2015," 1.041.865,08"," 1.041.865,08"
Halle,"Umbau und Erweiterung der ehemaligen Steintorschule zur
Jugendherberge - Dach",2012,2015," 458.500,00"," 458.500,00"
Halle,"Umbau und Erweiterung der ehemaligen Steintorschule zur
Jugendherberge, Große Steinstraße 60",2013,2015," 130.000,00"," 130.000,00"
Halle,"Umbau und Erweiterung der ehemaligen Steintorschule zur
Jugendherberge, Große Steinstraße 60",2013,2015," 505.717,04"," 505.717,04"
Halle,"Umbau und Erweiterung der ehemaligen Steintorschule zur
Jugendherberge, Große Steinstraße 60 - 2. BA Mehrkosten",2015,2015," 306.317,86"," 306.317,86"
Halle,"Vernetzung und Aufwertung des Quartiers Stadtpark/
Magdeburger Straße",2011,2015," 180.493,18"," 180.493,18"
Halle,"Zentrum Neustadt - Aufwertung städtebauliches Ensemble,
Eingang Magistrale",2008,2009," 28.020,74"," 28.020,74"
Halle,"Zentrum Neustadt-Aufwertung Städtebauliches Ensemble,
Skateranlage",2007,2010," 1.381.656,63"," 1.381.656,63"
Halle Karton GmbH,Errichtung einer Betriebsstätte,2008,2009," 144.808,57"," 144.808,57"
"Hallesche Essig- und Senffabrik
GmbH",Organisationsoptimierung,2009,2010," 6.750,00"," 6.750,00"
"Hallesche Essig- und Senffabrik
GmbH",Unternehmensnachfolge,2007,2008," 3.600,00"," 3.600,00"
Hallesche Lackfabrik novatic GmbH,BUDMA `2010 Internationale Baumesse Ort: Posen,2010,2010," 1.985,14"," 1.985,14"
Hallesche Lackfabrik novatic GmbH,Erweiterung einer Betriebsstätte,2008,2013," 516.900,00"," 516.900,00"
Hallesche Lackfabrik novatic GmbH,Farbe - Ausbau & Fassade '2013 Ort: Köln,2013,2016," 0,00"," 0,00"
Hallesche Verkehrs-AG,"Ausbau Delitzscher Straße - ergänzende Maßnahme
Gleisbau zum Knoten Grenzstraße, BA 15 (Gleisanlage,
Fahrleitung, Bahnstrom und Planung)",2010,2014," 784.222,10"," 784.222,10"
Hallesche Verkehrs-AG,Ausbau der Gleisanlagen in der Torstraße in Halle (Saale),2013,2014," 3.967.385,91"," 3.967.385,91"
Hallesche Verkehrs-AG,Barrierefreie Auskunft,2014,2015," 153.000,00"," 153.000,00"
Hallesche Verkehrs-AG,"Neubau eines Bahnstromunterwerkes (BUW 26) in der
Delitzscher Straße (Hochweg)",2010,2013," 1.354.486,98"," 1.354.486,98"
Hallog GmbH,Organisationsoptimierung,2010,2012," 7.200,00"," 7.200,00"
"Haltrans Hallesche
Transportgesellschaft mbH",Organisationsoptimierung,2010,2011," 9.000,00"," 9.000,00"
"Handelshof Bitterfeld GmbH Partner
für Technik","Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2011,2014," 978.900,00"," 978.900,00"
"Hanomag Härtol Gommern Lohn-
härterei GmbH und K & K",Erweiterung einer Betriebsstätte,2010,2014," 222.408,35"," 222.408,35"
Hans Reimann,Risikomanagement,2010,2011," 6.000,00"," 6.000,00"
Hans Werner Scherf,Erweiterung einer Betriebsstätte,2008,2012," 4.538,90"," 4.538,90"
Hans-Dieter Dziewiecki,Organisationsoptimierung,2008,2010," 3.600,00"," 3.600,00"
Hans-Felix Rätzel GmbH,Energie- und Umweltberatung,2010,2011," 9.000,00"," 9.000,00"
Hans-Felix Rätzel GmbH,"Logistikoptimierung sowie die Entwicklung eines Verfahrens
zur Keimreduzierung und Verbesserung der
Verarbeitungsfähigkeit von konservierten Naturdärmen und
anderen Naturwursthüllen",2008,2010," 54.600,00"," 54.600,00"
Hans-Felix Rätzel GmbH,Naturdärme,2009,2010," 60.407,00"," 60.407,00"
Hans-Felix Rätzel GmbH,Organisationsoptimierung,2008,2009," 3.600,00"," 3.600,00"
"Hans-Georg Nußbaum GmbH & Co.
KG",Energie-/Umweltberatung,2007,2008," 3.600,00"," 3.600,00"
"Hans-Georg Nußbaum GmbH & Co.
KG",Organisationsoptimierung,2007,2008," 3.600,00"," 3.600,00"
"Hans-Georg Nußbaum GmbH & Co.
KG","Schaffung der technologischen Voraussetzungen zur
Eigenfertigung von Scneckengetrieben",2008,2009," 59.850,00"," 59.850,00"
"Hans-Georg Nußbaum GmbH & Co.
KG",Stärkung des Innovationspotentials,2007,2008," 3.600,00"," 3.600,00"
"Hans-Joachim Feilhaber Tiefbau und
Landschaftsge",Stärkung des Innovationspotentials,2012,2013," 3.600,00"," 3.600,00"
Hans-Joachim Mierwald,Risikomanagement,2010,2011," 7.200,00"," 7.200,00"
Hans-Joachim Ollendorf,Videozentriersystem visuReal 2.0,2009,2012," 261.720,00"," 261.720,00"
Hans-Jörg Kautz,LBA  ́2009 Ort: Magdeburg,2009,2009," 608,30"," 608,30"
Hans-Jörg Kautz,SaaleBau  ́2013 Ort: Halle,2013,2013," 1.539,90"," 1.539,90"
Hans-Jörg Kautz,SaaleBau  ́2014 Ort: Halle,2014,2014," 1.470,78"," 1.470,78"
Hans-Jörg Kautz,SaaleBau  ́2015 Ort: Halle,2015,2015," 1.481,05"," 1.481,05"
Hans-Jürgen Diedrich,Risikomanagement,2010,2016," 0,00"," 0,00"
Hans-Norbert Mertens,Leuna Dialog  ́2013 Ort: Leuna,2013,2013," 503,94"," 503,94"
Hans-Norbert Mertens,Leuna-Dialog `2012 Ort: Leuna,2012,2012," 465,12"," 465,12"
Hans-Peter Kamieth,Marketing,2012,2013," 500,00"," 500,00"
Hans-Rudolf Schröder,Organisationsoptimierung,2010,2011," 3.900,00"," 3.900,00"
Hansestadt Gardelegen,Erschließung GE Ost 2.BA,2009,2013," 570.740,67"," 570.740,67"
Hansestadt Gardelegen,Gewerbegebiet Ost I Gardelegen,2011,2015," 1.294.092,05"," 1.294.092,05"
Hansestadt Gardelegen,"Sanierung Kindertagesstätte, Straße der Republik 2",2007,2010," 470.178,21"," 470.178,21"
Hansestadt Havelberg,"Altlastensanierung auf dem ehem. Gewerbegrundstück in der
Elbstraße",2014,2014," 665.559,58"," 665.559,58"
Hansestadt Havelberg,"Ausbau u. Vernetzung der Rad- und Wasserwege an der
Havel",2012,2015," 1.404.173,19"," 1.404.173,19"
Hansestadt Havelberg,Erneuerung Vorflut Domgebiet,2011,2012," 120.000,00"," 120.000,00"
Hansestadt Havelberg,Straßenausbau Amtstorstraße,2013,2014," 276.827,63"," 276.827,63"
Hansestadt Havelberg,Straßenbau Am Camps,2011,2012," 176.000,00"," 176.000,00"
Hansestadt Havelberg,Straßenbau Krugtorstraße,2011,2013," 396.000,00"," 396.000,00"
Hansestadt Havelberg,Straßenbau Lindenstraße,2011,2014," 348.406,20"," 348.406,20"
Hansestadt Havelberg,"Straßenbau Lindenstraße, 2.BA Mischwasserkanal",2012,2013," 108.000,00"," 108.000,00"
Hansestadt Havelberg,"zur Anschaffung von 15 Schüler-PC mit Monitor, 1 Lehrer-PC
mit 2 Monitoren, 1 Multifunktionsgerät, 1 Server, 1
Soundsystem, 1 Leinwand, 1 Netzwerkswitch, 2 Beamer, 1
Digitalkamera, 1 Notebook und Software für die Grundschule
""Am Eichenwald"" in Havelberg d",2012,," 25.690,40",
Hansestadt Osterburg,"Abriss der ehemaligen Gaststätte einschließlich Saal im OT
Rossau, Dorfstraße 36, 39606 Hansestadt Osterburg
(Altmark)",2015,2015," 42.167,05"," 42.167,05"
Hansestadt Osterburg,"Abriss des ehemaligen Kinos in Osterburg, Seehäuser
Straße 14, 39606 Hansestadt Osterburg (Altmark)",2015,2015," 79.663,30"," 79.663,30"
Hansestadt Osterburg,"Abriss eines Wohnblocks 14 WE, Krevese, Dequeder Weg
2/4",2014,2015," 25.212,10"," 25.212,10"
Hansestadt Osterburg,"Abriss eines Wohnblocks 30 WE, Flessau, Neue StraßeOsterburg (Altmark)",2014,2015," 98.801,78"," 98.801,78"
Hansestadt Osterburg,"Neubau des Radweges - Rohrbecker Weg zwischen
Walsleben und Rohrbeck (90-RW-0003)",2012,2015," 104.275,97"," 104.275,97"
